generation,evaluation_id,conflict_index,actor_flight,strategy,pairs_before,pairs_after,points_before,points_after,accepted,rollback_reason
1,4456:1,25,23,speed,60,59,69,68,True,
1,4456:1,33,23,reroute,59,58,68,67,True,
1,4456:1,35,24,speed,58,58,67,67,False,same_pairs_points_not_decreased
1,4456:1,34,24,reroute,58,58,67,67,False,same_pairs_points_not_decreased
1,4456:1,8;32,26,speed,58,57,67,66,True,
1,4456:1,18,27,schedule,57,55,66,64,True,
1,4456:1,29,29,schedule,55,52,64,60,True,
1,4456:1,41,29,reroute,52,52,60,60,False,same_pairs_points_not_decreased
1,4456:1,19,30,speed,52,52,60,60,False,same_pairs_points_not_decreased
1,4456:1,17,32,speed,52,52,60,60,False,same_pairs_points_not_decreased
1,4456:1,48,33,speed,52,52,60,60,False,same_pairs_points_not_decreased
1,4456:1,43,35,speed,52,53,60,61,False,pairs_increased
1,4456:1,4,40,reroute,52,51,60,59,True,
1,4456:1,57,44,speed,51,51,59,59,False,same_pairs_points_not_decreased
1,4456:1,60,44,reroute,51,50,59,58,True,
1,4456:1,50,47,reroute,50,50,58,58,False,same_pairs_points_not_decreased
1,4456:1,53,48,speed,50,50,58,58,False,same_pairs_points_not_decreased
1,4456:1,22,49,schedule,50,46,58,54,True,
1,4456:1,6,53,schedule,46,44,54,50,True,
1,4456:1,5,53,speed,44,44,50,50,False,same_pairs_points_not_decreased
1,4456:1,7,53,reroute,44,44,50,50,False,same_pairs_points_not_decreased
1,4456:1,11,54,schedule,44,45,50,52,False,pairs_increased
1,4456:1,45;46,56,speed,44,43,50,48,True,
1,4456:1,20,56,reroute,43,43,48,48,False,same_pairs_points_not_decreased
1,4456:1,23,57,schedule,43,41,48,46,True,
1,4456:1,21,63,schedule,41,39,46,44,True,
1,4456:1,52,63,speed,39,39,44,44,False,same_pairs_points_not_decreased
1,4456:1,0;54,64,reroute,39,38,44,43,True,
1,4456:1,47;59,65,schedule,38,36,43,41,True,
1,4456:1,36,65,speed,36,35,41,40,True,
1,4456:1,62,65,reroute,35,37,40,42,False,pairs_increased
1,4456:1,49,66,schedule,35,34,40,39,True,
1,4456:1,38,67,schedule,34,34,39,39,False,same_pairs_points_not_decreased
1,4456:1,64,69,speed,34,34,39,39,False,same_pairs_points_not_decreased
1,4456:1,40,73,schedule,34,33,39,38,True,
1,4456:1,31;39,73,reroute,33,34,38,39,False,pairs_increased
1,4456:1,27,75,schedule,33,33,38,38,False,same_pairs_points_not_decreased
1,4456:1,37,80,speed,33,33,38,38,False,same_pairs_points_not_decreased
1,4456:1,44,80,reroute,33,31,38,36,True,
