generation,evaluation_id,conflict_index,actor_flight,strategy,pairs_before,pairs_after,points_before,points_after,accepted,rollback_reason
200,5348:2,25;33,23,reroute,60,58,69,67,True,
200,5348:2,34,24,schedule,58,57,67,66,True,
200,5348:2,35,24,speed,57,57,66,66,False,same_pairs_points_not_decreased
200,5348:2,32,26,schedule,57,55,66,64,True,
200,5348:2,8,26,speed,55,55,64,64,False,same_pairs_points_not_decreased
200,5348:2,18,27,speed,55,55,64,64,False,same_pairs_points_not_decreased
200,5348:2,29,29,speed,55,55,64,64,False,same_pairs_points_not_decreased
200,5348:2,41,29,reroute,55,52,64,60,True,
200,5348:2,43,30,schedule,52,49,60,57,True,
200,5348:2,19,30,speed,49,49,57,57,False,same_pairs_points_not_decreased
200,5348:2,17,32,schedule,49,47,57,55,True,
200,5348:2,53,33,schedule,47,45,55,53,True,
200,5348:2,48,33,speed,45,45,53,53,False,same_pairs_points_not_decreased
200,5348:2,26,34,speed,45,44,53,52,True,
200,5348:2,55,36,reroute,44,44,52,52,False,same_pairs_points_not_decreased
200,5348:2,4,38,schedule,44,42,52,50,True,
200,5348:2,57,44,speed,42,41,50,49,True,
200,5348:2,60,44,reroute,41,40,49,48,True,
200,5348:2,50,46,reroute,40,39,48,47,True,
200,5348:2,22,49,schedule,39,35,47,43,True,
200,5348:2,6,53,schedule,35,33,43,39,True,
200,5348:2,5;7,53,speed,33,33,39,39,False,same_pairs_points_not_decreased
200,5348:2,11,54,schedule,33,32,39,38,True,
200,5348:2,20;45;46,56,schedule,32,30,38,35,True,
200,5348:2,23,57,schedule,30,27,35,32,True,
200,5348:2,21,63,schedule,27,25,32,30,True,
200,5348:2,52,63,reroute,25,25,30,30,False,same_pairs_points_not_decreased
200,5348:2,0,64,speed,25,23,30,28,True,
200,5348:2,54,64,reroute,23,24,28,29,False,pairs_increased
200,5348:2,36;47;59,65,schedule,23,21,28,26,True,
200,5348:2,62,65,reroute,21,21,26,26,False,same_pairs_points_not_decreased
200,5348:2,49,66,reroute,21,20,26,25,True,
200,5348:2,38,67,schedule,20,21,25,26,False,pairs_increased
200,5348:2,64,69,schedule,20,19,25,24,True,
200,5348:2,31;40,73,schedule,19,18,24,23,True,
200,5348:2,39,73,speed,18,18,23,23,False,same_pairs_points_not_decreased
200,5348:2,27,75,speed,18,17,23,22,True,
200,5348:2,37;44,80,schedule,17,16,22,21,True,
200,5348:2,30,81,schedule,16,14,21,19,True,
200,5348:2,42,81,speed,14,14,19,19,False,same_pairs_points_not_decreased
200,5348:2,63,82,schedule,14,13,19,18,True,
200,5348:2,24,82,speed,13,13,18,18,False,same_pairs_points_not_decreased
200,5348:2,28,84,schedule,13,13,18,18,False,same_pairs_points_not_decreased
200,5348:2,3;13;14;15,85,schedule,13,11,18,13,True,
200,5348:2,12,85,speed,11,11,13,13,False,same_pairs_points_not_decreased
200,5348:2,65,88,schedule,11,10,13,12,True,
200,5348:2,51,89,schedule,10,8,12,10,True,
200,5348:2,10,89,speed,8,8,10,10,False,same_pairs_points_not_decreased
200,5348:2,16;61,92,schedule,8,7,10,9,True,
200,5348:2,9,92,reroute,7,7,9,9,False,same_pairs_points_not_decreased
200,5348:2,56,95,schedule,7,5,9,7,True,
200,5348:2,1;2,96,schedule,5,4,7,5,True,
200,5348:2,67,97,schedule,4,3,5,3,True,
200,5348:2,58,97,speed,3,3,3,3,False,same_pairs_points_not_decreased
200,5348:2,66;68,99,schedule,3,2,3,2,True,
