generation,evaluation_id,conflict_index,actor_flight,strategy,pairs_before,pairs_after,points_before,points_after,accepted,rollback_reason
1,16112:1,35,24,schedule,58,58,67,67,False,same_pairs_points_not_decreased
1,16112:1,34,24,speed,58,59,67,68,False,pairs_increased
1,16112:1,18,27,speed,57,57,66,66,False,same_pairs_points_not_decreased
1,16112:1,29,29,speed,57,57,66,66,False,same_pairs_points_not_decreased
1,16112:1,17,32,speed,52,52,60,60,False,same_pairs_points_not_decreased
1,16112:1,43,35,schedule,51,51,59,59,False,same_pairs_points_not_decreased
1,16112:2,35,24,reroute,58,59,72,73,False,pairs_increased
1,16112:2,8;32,26,speed,58,58,72,72,False,same_pairs_points_not_decreased
1,16112:2,18,27,schedule,58,61,72,75,False,pairs_increased
1,16112:2,41,29,schedule,58,58,72,73,False,same_pairs_points_not_decreased
1,16112:2,29,29,speed,58,58,72,72,False,same_pairs_points_not_decreased
1,16112:2,17,32,reroute,57,57,71,77,False,same_pairs_points_not_decreased
1,16112:2,48,33,speed,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,43,35,schedule,57,58,71,73,False,pairs_increased
1,16112:2,4,40,schedule,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,60,44,schedule,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,57,44,speed,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,50,47,speed,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,53,48,schedule,57,60,71,74,False,pairs_increased
1,16112:2,5,53,speed,53,53,65,65,False,same_pairs_points_not_decreased
1,16112:2,6,53,reroute,53,53,65,65,False,same_pairs_points_not_decreased
1,16112:2,11,54,reroute,53,53,65,65,False,same_pairs_points_not_decreased
1,16112:2,46,56,speed,53,53,65,67,False,same_pairs_points_not_decreased
1,16112:2,49,66,schedule,42,43,53,54,False,pairs_increased
1,16112:2,38,67,schedule,42,42,53,53,False,same_pairs_points_not_decreased
1,16112:2,64,69,speed,42,42,53,53,False,same_pairs_points_not_decreased
1,16112:2,39,73,speed,41,41,51,51,False,same_pairs_points_not_decreased
