run_id,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,0,51,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,13,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,21,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,29,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,34,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,25,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,26,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,4,69,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,6,91,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,8,48,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,9,39,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,9,44,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,10,47,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,10,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,11,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,13,86,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,26,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,18,35,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,18,56,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,19,22,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,19,57,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,30,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,37,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,21,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,22,86,3
