run_id,flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,0,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,4,15.0,4,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,2,2.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,4,2,2.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,2,0.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,6,2,12.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,7,2,2.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,8,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,9,4,24.0,4,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,10,2,1.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,11,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,1,0.0,5,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,13,2,1.0,5,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,14,2,15.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,15,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,2,3.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,3,10.0,30,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,18,5,40.0,6,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,19,2,10.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,2,1.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,21,3,8.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,22,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,23,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,24,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,25,3,6.0,5,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,26,3,12.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,27,5,16.0,21,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,28,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,29,3,8.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,30,2,8.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,31,3,2.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,32,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,33,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,34,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,35,2,2.0,4,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,36,6,25.0,6,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,37,1,0.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,38,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,39,2,4.0,4,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,40,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,41,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,3,6.0,5,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,43,4,21.0,4,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,44,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,45,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,2,5.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,47,3,36.0,3,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,48,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,49,2,3.0,4,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,3,14.0,4,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,51,3,4.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,52,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,53,2,7.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,54,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,55,1,0.0,5,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,56,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,57,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,58,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,59,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,60,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,61,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,62,3,12.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,63,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,64,2,5.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,65,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,66,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,67,3,18.0,3,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,68,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,69,3,18.0,4,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,70,2,0.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,71,3,8.0,19,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,72,4,21.0,31,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,73,2,4.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,11.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,75,2,2.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,76,3,4.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,77,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,78,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,79,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,80,2,4.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,81,1,0.0,2,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,82,3,20.0,4,True
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,83,3,10.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,85,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,86,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,87,1,0.0,4,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,88,3,6.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,89,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,91,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,92,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,93,3,0.0,3,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,94,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,95,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,96,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,97,0,0.0,0,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,0.0,1,False
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,99,1,0.0,1,False
