run_id,traffic_seed,flight_id,start_x,start_y,start_z,goal_x,goal_y,goal_z,etd,speed
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,0,3,6,0,52,35,0,230.08334372939987,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,1,56,43,0,8,43,0,504.33432699683925,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,2,0,27,0,48,46,0,625.964601503093,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,3,3,9,0,53,39,0,1761.4207877630117,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,4,15,59,0,3,5,0,286.18341665440335,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,5,4,51,0,48,25,0,295.3341794664013,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,6,55,57,0,18,13,0,1711.228764270826,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,7,11,42,0,56,9,0,911.952630970131,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,8,2,58,0,13,0,0,1068.9417870623884,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,9,4,40,0,51,19,0,1505.8181921432597,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,10,9,6,0,29,52,0,1240.8157140616165,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,11,27,55,0,57,7,0,1195.2462785498644,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,12,5,5,0,56,4,0,1789.1943600076581,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,13,24,48,0,7,3,0,601.4696488921713,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,14,5,13,0,56,1,0,84.59752188211877,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,15,12,3,0,51,48,0,1195.2654414359824,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,16,56,6,0,11,28,0,1323.105895411997,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,17,16,54,0,54,1,0,682.7513289462195,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,18,9,55,0,50,9,0,813.729804660512,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,19,11,49,0,56,3,0,1167.9395044958244,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,20,20,54,0,28,3,0,176.53309521123214,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,21,7,17,0,46,57,0,1127.6015189464497,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,22,7,15,0,47,43,0,704.4239159296528,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,23,4,49,0,59,9,0,617.516634447213,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,24,46,13,0,15,59,0,1139.0113841152709,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,25,41,54,0,59,9,0,1135.5639180744533,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,26,5,12,0,32,58,0,459.0102343237755,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,27,30,58,0,37,5,0,1688.1351676048685,10.0
