run_id,traffic_seed,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,1,11,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,2,23,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,2,24,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,2,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,2,70,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,3,38,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,4,17,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,4,18,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,4,28,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,4,29,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,4,58,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,4,68,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,5,13,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,5,16,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,5,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,5,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,6,22,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,6,52,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,6,58,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,6,69,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,7,56,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,7,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,7,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,8,41,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,9,51,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,9,80,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,11,51,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,11,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,12,29,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,12,76,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,13,52,1
