run_id,plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,0,18,38,47,1,19,8,559.0407271163676,585.6828186582802,-26.642091541912578,26.642091541912578,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,0,86,11,48,0,46,47,835.2587854468109,829.5955936198837,5.663191826927118,5.663191826927118,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,49,90,20,33,0,11,25,1412.4040468084245,1420.6240960763116,-8.220049267887134,8.220049267887134,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,49,90,21,32,0,12,24,1426.5461824321555,1406.4819604525806,20.064221979574995,20.064221979574995,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,99,23,31,0,22,26,1382.3398248288495,1393.9416475819507,-11.60182275310126,11.60182275310126,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,66,26,28,0,24,32,1971.627757286578,1954.3542865419515,17.273470744626593,17.273470744626593,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,26,45,53,17,0,16,4,1515.6363080518258,1544.56910982238,-28.932801770554303,28.932801770554303,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,28,94,50,54,0,3,46,1764.791799648201,1735.0790697908592,29.712729857341856,29.712729857341856,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,96,37,55,0,19,55,1081.0779888913655,1058.6581045072844,22.419884384081342,22.419884384081342,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,14,83,27,55,0,4,32,560.3113259171707,578.1041180884365,-17.792792171265774,17.792792171265774,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,65,93,28,20,1,28,26,937.2007910799628,957.5155085102118,-20.31471743024906,20.31471743024906,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,44,65,35,20,1,15,35,1025.1823939647152,1007.2007910799628,17.98160288475242,17.98160288475242,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,40,72,24,26,1,26,26,1800.5028392061347,1819.8604178841376,-19.357578678003165,19.357578678003165,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,40,72,23,25,1,27,27,1814.6449748298653,1834.002553507869,-19.357578678003392,19.357578678003392,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,96,36,32,1,27,32,825.7856139331823,815.9170009650215,9.868612968160733,9.868612968160733,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,6,88,36,35,1,29,25,364.3125735217781,376.1853665731029,-11.87279305132472,11.87279305132472,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,8,24,32,26,0,20,17,1462.819364489857,1463.3411895262411,-0.5218250363841435,0.5218250363841435,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,14,31,40,35,0,24,26,814.1590890256731,832.2333343957906,-18.074245370117524,18.074245370117524,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,10,17,22,46,1,12,13,620.0093167595411,627.1663218588089,-7.157005099267849,7.157005099267849,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,10,27,14,37,1,21,37,743.1464017493887,758.5717581153832,-15.425356365994505,15.425356365994505,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,10,27,13,36,2,22,38,757.6032340441897,773.0285904101842,-15.425356365994505,15.425356365994505,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,11,27,33,35,0,13,18,543.7059231840783,559.9727901968513,-16.26686701277299,16.26686701277299,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,19,22,43,20,0,16,3,223.3754769307882,249.10262377337037,-25.72714684258213,25.72714684258213,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,22,87,39,23,0,7,17,301.5290306445632,300.035513992985,1.4935166515782043,1.4935166515782043,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,39,34,28,0,14,26,1081.0077718277685,1104.1001195060317,-23.092347678263195,23.092347678263195,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,32,30,32,0,18,27,1137.5763143226927,1115.1240114753462,22.452302847346573,22.452302847346573,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,75,90,10,50,0,33,42,1611.6558116286817,1632.0454523136225,-20.389640684940787,20.389640684940787,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,75,84,10,50,0,33,10,1611.6558116286817,1635.413020929357,-23.757209300675413,23.757209300675413,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,90,10,50,0,10,42,1635.413020929357,1632.0454523136225,3.3675686157346263,3.3675686157346263,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,13,23,40,46,0,49,13,1506.7266387194695,1506.0768812673286,0.6497574521408751,0.6497574521408751,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,32,35,30,52,0,7,46,906.8397402278842,882.4121793565929,24.427560871291348,24.427560871291348,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,14,17,41,27,0,32,32,898.301224649404,896.810988722907,1.490235926497007,1.490235926497007,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,39,78,41,27,0,33,31,1178.2422551297627,1182.5884418374474,-4.346186707684637,4.346186707684637,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,15,36,32,36,1,21,24,1070.8452649215224,1090.1997832862012,-19.354518364678825,19.354518364678825,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,15,95,23,36,1,30,36,1160.8452649215224,1144.611678240189,16.23358668133369,16.23358668133369,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,34,32,29,0,17,30,1542.763303661091,1562.7237020091045,-19.960398348013317,19.960398348013317,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,53,29,39,1,20,33,726.7906645670656,729.6844435902724,-2.8937790232067755,2.8937790232067755,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,19,79,31,10,0,28,10,384.7968331680977,372.7757621600123,12.021071008085414,12.021071008085414,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,44,95,23,6,0,0,6,829.3042054326046,834.1258744481739,-4.821669015569341,4.821669015569341,30.0,deterministic
