run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,1,45,70.0,8,15,15,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,2,54,50.0,6,10,10,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,3,52,45.0,6,10,10,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,4,11,36.0,4,5,5,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,5,23,36.0,4,40,40,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,6,0,32.0,3,6,6,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,7,3,30.0,4,7,7,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,8,49,27.0,4,18,18,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,9,80,24.0,4,5,5,112
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,440,10,96,24.0,3,3,3,112
