traffic_seed,environment_seed,building_map_hash,population_map_hash,risk_map_hash,environment_hash,error,generation_failures,astar_failures,runtime_sec,det_Nc,unc_Nc,conflict_edges,CI_top10_point_coverage,CI_top10_pair_coverage,continuous_conflict_ratio,route_density_gini,route_cell_reuse_p90,route_cell_reuse_max,degree_gini,max_degree,top10_degree_point_coverage,top10_conflict_point_share,top1_degree_mean,top1_conflict_point_involvement,top3_degree_mean,top3_conflict_point_involvement,top5_degree_mean,top5_conflict_point_involvement,top10_degree_mean,top10_conflict_point_involvement,degree_cv,degree_max_to_mean,calibration_score,hub_rank_score,candidate_tag
316,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3557073999982094,53,107,72,0.5233644859813084,0.3888888888888889,0.4299065420560747,0.5635881671567318,3.0,8,0.4070833333333332,5,0.5887850467289719,0.5327102803738317,5.0,28.0,4.333333333333333,58.0,4.2,69.0,3.7,91.0,0.7690482333281738,3.4722222222222223,0.4522420765796814,0.5233644859813084,
257,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.501513100003649,56,102,73,0.4509803921568627,0.4246575342465753,0.392156862745098,0.5859609624712221,3.0,9,0.4310958904109589,5,0.5392156862745098,0.4901960784313725,5.0,14.0,4.333333333333333,39.0,4.0,53.0,3.5,76.0,0.7894262758478854,3.4246575342465757,0.547315575091128,0.4509803921568627,
42,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3464333999945666,50,103,61,0.4563106796116505,0.3442622950819672,0.5436893203883495,0.565798000746154,3.0,10,0.4955737704918033,4,0.6019417475728155,0.6019417475728155,4.0,26.0,4.0,62.0,3.6,73.0,3.3,94.0,0.9096514360003334,3.278688524590164,0.5509961626324844,0.4563106796116505,
370,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4234110999968834,54,85,70,0.4588235294117647,0.4428571428571428,0.3058823529411765,0.5534773475835182,3.0,8,0.4847142857142856,5,0.5294117647058824,0.5647058823529412,5.0,7.0,5.0,19.0,4.8,31.0,4.3,54.0,0.920292766194652,3.571428571428572,0.5719910294403698,0.4588235294117647,
112,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4273814000043783,59,93,69,0.4408602150537634,0.4057971014492754,0.3870967741935484,0.5895301100042918,3.0,8,0.4339130434782607,6,0.4946236559139785,0.4838709677419355,6.0,8.0,4.666666666666667,24.0,4.2,38.0,3.6,64.0,0.8184236465794493,4.347826086956522,0.6061954187742443,0.4408602150537634,
461,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4496952000044985,60,98,75,0.4285714285714285,0.4133333333333333,0.3979591836734694,0.5772522764993495,3.0,11,0.4198666666666666,6,0.4591836734693877,0.4183673469387755,6.0,8.0,5.0,21.0,4.4,31.0,3.7,55.0,0.7859884081701064,4.0,0.6094177170815958,0.4285714285714285,
266,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4270393999977389,56,102,74,0.3725490196078431,0.4459459459459459,0.392156862745098,0.5683354735514103,3.0,9,0.4906756756756756,6,0.4019607843137255,0.4901960784313725,6.0,14.0,5.333333333333333,34.0,5.0,47.0,4.5,74.0,0.9288021771588963,4.054054054054054,0.644852025568755,0.3725490196078431,
281,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.2748108000014329,46,98,66,0.3979591836734694,0.4696969696969697,0.4693877551020408,0.57024132780453,3.0,11,0.5016666666666667,5,0.4285714285714285,0.5102040816326531,5.0,10.0,4.666666666666667,28.0,4.4,41.0,3.9,66.0,0.9393939393939392,3.787878787878788,0.6474867908649553,0.3979591836734694,
383,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.147175199999765,52,105,76,0.3619047619047619,0.3684210526315789,0.4095238095238095,0.5827287042763233,3.0,10,0.4623684210526315,7,0.4571428571428571,0.5714285714285714,7.0,17.0,5.666666666666667,45.0,5.0,60.0,4.2,83.0,0.8751731130692573,4.605263157894737,0.6512811012713756,0.3619047619047619,
167,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3531197999982396,57,99,77,0.3535353535353535,0.3766233766233766,0.3535353535353535,0.5768662808953483,3.0,9,0.4568831168831169,5,0.4747474747474747,0.4646464646464646,5.0,8.0,4.333333333333333,21.0,4.2,33.0,4.1,59.0,0.8337014984781315,3.2467532467532467,0.6564373151612989,0.3535353535353535,
