traffic_seed,environment_seed,building_map_hash,population_map_hash,risk_map_hash,environment_hash,error,generation_failures,astar_failures,runtime_sec,det_Nc,unc_Nc,conflict_edges,CI_top10_point_coverage,CI_top10_pair_coverage,continuous_conflict_ratio,route_density_gini,route_cell_reuse_p90,route_cell_reuse_max,degree_gini,max_degree,top10_degree_point_coverage,top10_conflict_point_share,top1_degree_mean,top1_conflict_point_involvement,top3_degree_mean,top3_conflict_point_involvement,top5_degree_mean,top5_conflict_point_involvement,top10_degree_mean,top10_conflict_point_involvement,degree_cv,degree_max_to_mean,calibration_score,hub_rank_score,candidate_tag
0,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4180130000022473,89,124,84,0.24193548387096775,0.30952380952380953,0.3870967741935484,0.5831340725806452,3.0,8,0.4029761904761904,5,0.2903225806451613,0.4838709677419355,5.0,29.0,4.333333333333333,64.0,4.2,76.0,3.7,103.0,0.723551019001083,2.9761904761904763,1.6567273121304282,0.24193548387096775,
1,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3100712999948882,122,174,75,0.21839080459770116,0.32,0.6264367816091954,0.5389715245072387,3.0,8,0.3993333333333333,5,0.25862068965517243,0.6264367816091954,5.0,32.0,4.333333333333333,89.0,4.0,137.0,3.5,207.0,0.7333333333333334,3.3333333333333335,2.8241126607505076,0.21839080459770116,
2,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.363352300002589,80,111,72,0.32432432432432434,0.4305555555555556,0.4774774774774775,0.5694017781351919,3.0,12,0.4731944444444445,5,0.38738738738738737,0.5765765765765766,5.0,26.0,4.666666666666667,58.0,4.4,72.0,4.0,95.0,0.8746692496574328,3.4722222222222223,1.2504374558449642,0.32432432432432434,
3,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4906262000004062,85,119,80,0.5882352941176471,0.4625,0.40336134453781514,0.5861909595344431,3.0,8,0.43875,5,0.5714285714285714,0.5630252100840336,5.0,32.0,5.0,68.0,5.0,80.0,4.3,105.0,0.814900300650331,3.125,1.0990543300347984,0.5882352941176471,
4,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4030069000000367,143,188,68,0.425531914893617,0.3235294117647059,0.7074468085106383,0.5983802279662539,3.0,9,0.44808823529411757,5,0.44680851063829785,0.675531914893617,5.0,42.0,4.333333333333333,109.0,3.8,154.0,3.4,237.0,0.8222153381467271,3.676470588235294,3.1070704125122717,0.425531914893617,
5,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3834071000019321,63,133,66,0.2631578947368421,0.3787878787878788,0.5864661654135338,0.5861890106421356,3.0,9,0.49242424242424243,5,0.3383458646616541,0.6015037593984962,5.0,23.0,5.0,63.0,4.6,92.0,3.8,139.0,0.92709445701687,3.7878787878787876,1.2325528070621694,0.2631578947368421,
6,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4758610999997472,104,147,83,0.42857142857142855,0.30120481927710846,0.54421768707483,0.5679592049979102,3.0,9,0.3955421686746987,7,0.4897959183673469,0.564625850340136,7.0,30.0,5.0,77.0,4.6,103.0,4.2,137.0,0.7534697404219068,4.216867469879518,1.9447610355021365,0.42857142857142855,
7,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.419181799996295,95,149,88,0.30201342281879195,0.36363636363636365,0.5570469798657718,0.5707831821012365,3.0,8,0.4282954545454545,6,0.3422818791946309,0.4899328859060403,6.0,19.0,5.333333333333333,52.0,5.0,75.0,4.5,114.0,0.7795487675519316,3.409090909090909,1.9529545093716012,0.30201342281879195,
8,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3672412000014447,139,185,93,0.5243243243243243,0.45161290322580644,0.5945945945945946,0.6128580399141434,3.0,8,0.4541935483870967,8,0.5351351351351351,0.6486486486486487,8.0,52.0,6.333333333333333,121.0,5.8,151.0,5.1,195.0,0.8467357902197864,4.301075268817204,2.877813652234971,0.5243243243243243,
9,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.2339925999986008,86,120,70,0.325,0.32857142857142857,0.525,0.5520864528810265,3.0,8,0.4710000000000001,5,0.4083333333333333,0.5166666666666667,5.0,27.0,4.333333333333333,65.0,4.0,80.0,3.5,111.0,0.8571428571428573,3.5714285714285716,1.4555882448291513,0.325,
