plan_a,plan_b,cell_x,cell_y,cell_z,time_a,time_b,time_gap,required_gap,tried_delay_a,tried_delay_b,tried_speed_a,tried_speed_b,tried_reroute,reason_failed
69,92,32,25,1,781.7387717222886,769.6802932836567,12.058478438631823,47.62444578952062,False,False,False,False,False,remaining_after_repair
43,92,32,26,1,735.8385567204182,759.6824460778777,-23.84388935745949,44.90046031605168,False,False,False,False,False,remaining_after_repair
11,54,39,53,1,1235.5905483641666,1269.3215197397838,-33.73097137561717,43.52751523503587,False,False,False,False,False,remaining_after_repair
7,27,35,46,2,1634.7211741898655,1672.6714752886667,-37.95030109880122,47.41451724116608,False,False,False,False,False,remaining_after_repair
9,63,29,4,0,1057.547714509564,1076.6125700773841,-19.064855567820132,34.124158931311406,False,False,False,False,False,remaining_after_repair
13,23,37,36,1,662.0909101412273,642.0874918794664,20.003418261760885,43.70258864609971,False,False,False,False,False,remaining_after_repair
34,86,13,48,1,1807.467757955004,1842.5003161537043,-35.03255819870037,45.55909762662051,False,False,False,False,False,remaining_after_repair
13,75,3,49,1,1051.108395269895,1032.1935058617055,18.914889408189538,45.890382309859824,False,False,False,False,False,remaining_after_repair
39,81,37,35,1,1698.7193284642672,1701.9380786936122,-3.218750229345005,50.22912961993675,False,False,False,False,False,remaining_after_repair
30,35,30,43,1,878.7705432590161,912.0788009257313,-33.308257666715235,42.960171568760636,False,False,False,False,False,remaining_after_repair
73,74,27,52,2,2232.8455214996293,2205.0893671619024,27.75615433772691,61.567852181329954,False,False,False,False,False,remaining_after_repair
33,64,11,16,2,488.3234807506643,466.1636367393526,22.15984401131169,49.79326453517537,False,False,False,False,False,remaining_after_repair
39,78,46,17,1,1458.166216418567,1440.234772842872,17.931443575695084,38.729122838507124,False,False,False,False,False,remaining_after_repair
42,73,56,25,1,1549.7019735248655,1536.3412809647539,13.360692560111602,46.21009588521305,False,False,False,False,False,remaining_after_repair
61,88,45,54,2,1280.8788351971557,1239.0909687409355,41.78786645622017,56.90691018300626,False,False,False,False,False,remaining_after_repair
73,80,44,29,0,1817.9386355513943,1818.710753157032,-0.7721176056377317,47.525264577093864,False,False,False,False,False,remaining_after_repair
79,99,34,49,1,1209.3856319744248,1178.621241536627,30.76439043779783,37.117188791291156,False,False,False,False,False,remaining_after_repair
95,99,28,59,0,1066.4107492722155,1052.6450947454894,13.765654526726166,46.74762933106987,False,False,False,False,False,remaining_after_repair
