segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,5,85,4,27,30,25,28,39.39956855630906,29:1:1;28:1:1;27:1:1;26:1:1
1,1,96,2,33,34,3,4,16.896684924366326,56:25:1;55:24:1
2,2,8,1,46,46,30,30,6.129614435479667,5:29:2
3,4,52,1,44,44,7,7,26.54069190617397,52:8:1
4,6,26,1,32,32,27,27,45.53179631883694,36:50:2
5,7,13,1,58,58,47,47,24.693312350187057,1:49:1
6,7,64,1,3,3,3,3,14.281068385788643,55:29:1
7,7,72,1,15,15,17,17,24.073619801317037,43:38:1
8,8,22,1,29,29,56,56,37.1970827661179,6:30:2
9,10,57,1,35,35,37,37,10.293935350513024,37:4:1
10,13,33,1,35,35,6,6,37.449220576102356,13:48:1
11,14,70,1,15,15,8,8,20.36404128574359,41:25:1
12,18,78,1,10,10,9,9,34.07891264715225,43:20:1
13,19,37,1,28,28,4,4,11.628601700787861,27:46:2
14,24,95,1,26,26,51,51,2.314582944225954,28:51:2
15,25,44,1,20,20,24,24,3.340814295414532,27:35:1
16,26,27,1,22,22,29,29,10.288804263959143,31:45:2
17,27,54,1,37,37,39,39,12.56948252787086,39:46:3
18,30,35,1,27,27,7,7,6.020435542568961,30:43:1
19,30,81,1,19,19,34,34,29.92651824750115,37:35:1
20,31,64,1,38,38,53,53,32.30953394153473,5:16:2
21,33,82,1,33,33,1,1,40.33575752441403,1:21:0
22,34,86,1,4,4,36,36,19.21619288814823,13:48:1
23,36,94,1,16,16,19,19,14.018684078692303,37:19:2
24,37,44,1,3,3,12,12,8.628167261199039,27:47:1
25,38,40,1,21,21,20,20,29.567268402297508,33:31:2
26,41,53,1,34,34,6,6,23.790787340216582,35:48:1
27,44,95,1,0,0,110,110,52.98437443380493,27:59:0
28,45,66,1,34,34,28,28,41.58061712632395,37:30:1
29,45,69,1,26,26,26,26,14.019326369446986,32:25:1
30,46,47,1,18,18,12,12,6.736482426152733,13:36:2
31,51,96,1,3,3,35,35,12.245174219343419,24:13:1
32,55,65,1,1,1,0,0,14.494248231338474,46:9:0
33,57,82,1,9,9,9,9,24.98122387249073,9:29:1
34,57,96,1,26,26,33,33,16.127976342840874,26:13:1
35,61,88,1,54,54,45,45,25.043028782194988,45:54:2
36,65,76,1,19,19,10,10,2.772987064861816,32:28:2
37,67,72,1,29,29,25,25,20.77774640842354,51:30:1
38,68,99,1,8,8,26,26,25.79729812533992,47:33:2
