plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
7,64,1,21.1479106758284,35.42897906161704,55:29:1
1,96,2,26.316425824801968,44.10833438784075,56:25:1;55:24:1
38,40,1,15.165821345061431,44.73308974735894,33:31:2
2,8,1,46.3335141233689,52.46312855884857,5:29:2
45,69,1,31.783714931068403,45.80304130051539,32:25:1
4,52,1,20.111976106276302,46.65266801245027,52:8:1
5,85,4,7.014817507075577,46.42127988535624,29:1:1;28:1:1;27:1:1;26:1:1
24,95,1,47.77106342921195,50.0856463734379,28:51:2
6,26,1,2.531947979924098,48.06374429876104,36:50:2
7,72,1,17.817440797863213,41.89106059918025,43:38:1
7,13,1,32.9780931342691,57.67140548445616,1:49:1
8,22,1,13.826150141027483,51.023232907145385,6:30:2
10,57,1,44.85850383747447,55.1524391879875,37:4:1
41,53,1,20.463124312353727,44.25391165257031,35:48:1
13,33,1,6.194519464260225,43.64374004036258,13:48:1
34,86,1,25.74564213878307,44.9618350269313,13:48:1
14,70,1,18.727223193208772,39.09126447895236,41:25:1
67,72,1,25.82164057821086,46.5993869866344,51:30:1
18,78,1,4.091360284323372,38.17027293147562,43:20:1
30,81,1,16.8982475997326,46.82476584723375,37:35:1
30,35,1,36.68371661174956,42.70415215431852,30:43:1
19,37,1,33.565862046863685,45.19446374765155,27:46:2
44,95,1,3.3313345382214266,56.31570897202636,27:59:0
45,66,1,6.848148769241561,48.42876589556551,37:30:1
25,44,1,41.42418068897041,44.76499498438494,27:35:1
26,27,1,36.11107674871033,46.399881012669475,31:45:2
46,47,1,35.4365651985114,42.173047624664136,13:36:2
27,54,1,36.27812598612434,48.8476085139952,39:46:3
31,64,1,20.27899829279886,52.58853223433359,5:16:2
33,82,1,0.3981530664335651,40.73391059084759,1:21:0
36,94,1,29.78520921546692,43.803893294159224,37:19:2
37,44,1,29.13032918592876,37.7584964471278,27:47:1
51,96,1,30.708143776309953,42.95331799565337,24:13:1
55,65,1,19.932269869700804,34.42651810103928,46:9:0
57,82,1,15.060413894706699,40.04163776719743,9:29:1
57,96,1,34.162901889160594,50.29087823200147,26:13:1
61,88,1,32.88142793673455,57.92445671892954,45:54:2
65,76,1,39.68890197334554,42.46188903820735,32:28:2
68,99,1,16.72704038731672,42.52433851265664,47:33:2
