flight_id,stage1_schedule,stage1_speed,stage1_reroute,stage2_schedule,stage2_speed,stage2_reroute,final_schedule,final_speed,final_reroute
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,1,1
2,0,0,0,1,1,1,1,1,1
3,0,1,0,0,0,0,0,1,0
4,1,0,0,0,0,0,1,0,0
5,0,0,0,1,1,1,1,1,1
6,0,0,0,1,0,0,1,0,0
7,0,0,0,1,0,0,1,0,0
8,0,0,0,1,1,0,1,1,0
9,0,0,0,0,1,0,0,1,0
10,0,0,0,0,1,0,0,1,0
11,0,0,0,1,1,0,1,1,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,1,0,0
14,0,0,0,1,0,1,1,0,1
15,0,0,0,1,0,1,1,0,1
16,1,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,1,0,0
19,0,0,0,0,1,0,0,1,0
20,0,0,0,0,0,1,0,0,1
21,0,0,0,0,1,0,0,1,0
22,0,0,0,0,0,1,0,0,1
23,0,0,0,1,1,0,1,1,0
24,0,0,0,0,1,1,0,1,1
25,0,0,0,0,0,0,0,0,0
26,0,0,0,1,0,1,1,0,1
27,0,0,0,1,0,1,1,0,1
28,0,0,0,0,0,0,0,0,0
29,0,0,0,1,1,1,1,1,1
30,0,0,0,0,1,1,0,1,1
31,0,0,0,1,0,1,1,0,1
32,0,0,0,1,0,1,1,0,1
33,0,0,0,0,1,1,0,1,1
34,0,0,0,0,0,1,0,0,1
35,0,0,0,0,0,1,0,0,1
36,0,0,0,1,0,1,1,0,1
37,0,0,0,0,1,0,0,1,0
38,0,0,0,0,1,1,0,1,1
39,0,0,0,0,1,0,0,1,0
40,0,0,0,0,0,1,0,0,1
41,1,0,0,0,0,0,1,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,1,0,0,1,0
44,0,0,0,0,1,0,0,1,0
45,0,0,0,0,1,0,0,1,0
46,0,0,0,0,0,1,0,0,1
47,0,0,0,0,0,1,0,0,1
48,0,0,0,0,1,0,0,1,0
49,1,0,0,0,0,0,1,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,1,1,1,1,1,1
53,0,0,0,1,1,1,1,1,1
54,0,0,0,1,0,0,1,0,0
55,0,0,0,0,1,0,0,1,0
56,0,0,0,1,1,0,1,1,0
57,0,0,0,0,1,1,0,1,1
58,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
61,0,0,0,0,1,0,0,1,0
62,1,0,0,0,0,0,1,0,0
63,0,0,0,1,1,0,1,1,0
64,1,0,0,0,0,0,1,0,0
65,0,0,0,0,1,1,0,1,1
66,0,0,0,0,1,0,0,1,0
67,0,0,0,1,0,0,1,0,0
68,0,0,0,0,0,1,0,0,1
69,0,0,0,0,1,1,0,1,1
70,0,0,0,1,1,1,1,1,1
71,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,1,0,0,1
74,0,0,0,0,0,0,0,0,0
75,0,0,0,1,0,0,1,0,0
76,0,0,0,0,1,0,0,1,0
77,0,0,0,1,1,1,1,1,1
78,0,0,0,1,0,0,1,0,0
79,0,0,0,0,0,0,0,0,0
80,0,1,0,0,0,0,0,1,0
81,0,0,0,1,1,0,1,1,0
82,0,0,0,0,1,0,0,1,0
83,1,0,0,0,0,0,1,0,0
84,0,0,0,0,0,0,0,0,0
85,0,0,0,1,1,1,1,1,1
86,0,0,0,0,0,1,0,0,1
87,0,0,0,1,1,1,1,1,1
88,0,0,0,0,1,1,0,1,1
89,0,0,0,0,0,1,0,0,1
90,0,0,0,0,0,0,0,0,0
91,0,0,0,0,1,0,0,1,0
92,0,0,0,1,1,0,1,1,0
93,0,0,0,0,0,0,0,0,0
94,0,0,0,1,0,0,1,0,0
95,0,0,0,0,0,1,0,0,1
96,0,0,0,0,1,0,0,1,0
97,0,0,0,1,0,0,1,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,1,0,0,1
