conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,selected_strategy
0,1,96,56,25,1,6.438761674912318e-52,1.0,3.301307623882117e-39,speed
1,1,96,55,24,1,7.746554621571373e-57,1.0,7.120932243912379e-54,speed
2,1,85,56,0,1,5.959608854982004e-50,6.43044912045652e-61,1.0,reroute
3,38,40,33,31,2,1.7761985962330017e-46,6.872030052923152e-53,1.0,reroute
4,2,53,23,31,2,1.4104050749071727e-47,1.0,2.1006471402598738e-38,speed
5,2,53,22,30,2,1.8058447045116058e-50,3.5554160620846656e-59,1.0,reroute
6,2,53,21,29,2,1.0,9.136191271209429e-56,3.4994089245839154e-59,schedule
7,2,26,16,29,2,1.0,2.2619140150542877e-50,1.9025832042847493e-57,schedule
8,69,92,32,25,1,5.665963641760616e-54,1.0,1.6205717156532912e-53,speed
9,11,54,39,53,1,1.0,5.343661732330848e-57,1.8192409038902373e-51,schedule
10,52,77,19,21,2,2.1995016739698105e-45,1.0,5.2045151107178766e-59,speed
11,5,85,49,1,1,1.0,4.512753761254899e-53,8.918663407426005e-53,schedule
12,5,85,48,1,1,5.969945989894797e-59,1.0,1.9988305988576493e-54,speed
13,5,85,47,1,1,5.366313507942261e-59,4.033622799889767e-53,1.0,reroute
14,5,85,46,1,1,7.520246523384735e-51,1.7103108534944822e-39,1.0,reroute
15,6,92,17,51,2,1.0,6.131576772069579e-52,4.671377243805801e-45,schedule
16,31,32,36,45,2,2.0062527020573386e-53,3.186375827883563e-51,1.0,reroute
17,7,27,35,46,2,1.0,3.630092245419003e-60,6.061713340075028e-43,schedule
18,8,30,28,54,1,7.737282328807356e-60,1.0,5.8572403378959195e-55,speed
19,8,56,13,38,2,1.0,4.563753054045792e-49,4.389678947819133e-53,schedule
20,9,63,29,4,0,4.290346744832047e-52,1.0,3.53425781013994e-58,speed
21,52,77,14,21,2,2.275553401948081e-56,1.0,7.052750648242642e-61,speed
22,10,57,37,4,1,1.072542684200436e-52,1.0,5.520644286833222e-58,speed
23,11,82,35,45,1,3.703795999803394e-49,1.0,1.8077837041146914e-51,speed
24,13,23,37,36,1,1.0,1.2230936172776537e-44,6.408712422739039e-37,schedule
25,34,86,13,48,1,4.48843087578981e-55,1.9069393149792524e-58,1.0,reroute
26,13,75,3,49,1,1.0,3.094655531885493e-50,9.979746472585656e-49,schedule
27,14,29,43,25,1,1.0,5.403651599609435e-59,6.814409163100561e-58,schedule
28,14,81,38,25,1,1.0,2.2111450403004293e-50,7.675052176028757e-61,schedule
29,14,73,36,25,1,5.1858460648842905e-61,2.831734737466852e-36,1.0,reroute
30,70,87,18,26,1,4.95966796094401e-54,2.560477579124761e-48,1.0,reroute
31,70,87,14,26,1,1.0833577829477318e-39,5.242185385073667e-52,1.0,reroute
32,70,87,13,26,1,1.0,5.053743896565852e-56,1.030693585472811e-44,schedule
33,20,26,12,26,1,1.2948845108044326e-53,8.35958385659347e-59,1.0,reroute
34,87,88,8,26,1,1.052581547481694e-56,1.3616044191543002e-42,1.0,reroute
35,15,23,37,51,2,1.0,2.3232590370681624e-60,3.368867855655071e-53,schedule
36,15,24,37,51,2,4.286545901021418e-14,7.150231071062691e-55,0.9999999999999571,reroute
37,23,24,37,51,2,1.3949718480696138e-57,1.0,1.1288471825829217e-32,speed
38,32,67,51,34,1,1.0,5.421409461939922e-44,5.534197951878247e-54,schedule
39,29,73,45,16,1,1.8402759178892243e-38,1.157688275524769e-58,1.0,reroute
40,29,73,44,17,1,3.0336622886565423e-35,1.4033915877405604e-56,1.0,reroute
41,19,29,43,29,1,7.518484724169694e-49,1.0,5.65803993863746e-54,speed
42,39,81,37,35,1,4.431089733952264e-50,1.0,1.1240392806595481e-53,speed
43,30,35,30,43,1,1.8017027625412976e-15,3.0451288093000545e-59,0.9999999999999982,reroute
44,21,56,15,22,2,2.3904676020690634e-58,1.0,5.718062850127174e-54,speed
45,52,77,15,21,2,6.435974542510535e-39,1.1116107560681028e-52,1.0,reroute
46,21,56,15,21,2,3.1443478367974867e-53,1.0,2.074338425953718e-61,speed
47,38,65,32,30,2,2.729651922987718e-43,1.0,9.208714291257634e-57,speed
48,22,33,12,30,2,2.75218658811002e-56,8.914426191794484e-52,1.0,reroute
49,45,66,37,30,1,2.9447333201866124e-37,1.0,7.312284282093658e-53,speed
50,46,47,13,36,2,1.4822269374436867e-41,2.4284279952640147e-58,1.0,reroute
51,27,89,24,45,2,7.851083949817789e-51,1.2560119169149749e-58,1.0,reroute
52,31,63,28,37,3,1.0,3.426602738671535e-53,1.335779771349654e-55,schedule
53,52,77,11,21,2,9.858902226822638e-41,4.856026255157649e-59,1.0,reroute
54,33,48,11,19,2,9.162290597284786e-57,1.0,1.7331927284213686e-57,speed
55,36,94,37,19,2,1.0,8.981885384379584e-60,3.151928295822347e-52,schedule
56,36,95,28,19,2,9.520644503122854e-51,2.3341104936138112e-37,1.0,reroute
57,52,77,25,20,2,1.0,1.0186188193012388e-55,1.6074129286636202e-50,schedule
58,52,77,24,20,2,1.7575213191033003e-50,8.815152920703445e-14,0.9999999999999118,reroute
59,52,77,23,20,2,1.9015439607333462e-56,1.0,3.786935764818565e-47,speed
60,52,77,22,20,2,3.322623724090028e-30,1.0,6.150951910464759e-54,speed
61,52,77,21,21,2,1.0,1.0777831047353737e-47,1.0270049546896853e-58,schedule
62,52,77,20,21,2,6.430449120456525e-61,1.0,3.3665849275651536e-52,speed
63,52,77,18,21,2,7.67505217602875e-60,1.0,1.4428884214505087e-34,speed
64,52,77,17,21,2,2.3624459181212114e-53,1.0,2.2983669759567175e-59,speed
65,52,77,16,21,2,1.3321303467622815e-45,1.9436551051186306e-59,1.0,reroute
66,52,77,13,21,2,4.1898403970129724e-54,4.7487420661303394e-39,1.0,reroute
67,52,77,12,21,2,1.0,1.0164258287173208e-60,6.4894554886013e-48,schedule
68,37,44,27,47,1,5.6164787221122834e-58,1.0,1.4809280158588314e-37,speed
69,78,97,49,15,1,1.0,1.1071324994074248e-55,6.281819671996122e-43,schedule
70,40,65,32,32,2,1.1717522900527345e-57,3.811693169790222e-38,1.0,reroute
71,70,87,29,28,1,1.0,3.309827253349994e-55,6.683308810680215e-50,schedule
72,43,44,27,30,1,1.9583862268843835e-55,1.0,1.453271724866171e-53,speed
73,70,87,27,28,1,3.1861354422623625e-52,4.289558720881079e-45,1.0,reroute
74,52,77,7,23,2,1.456023254854294e-20,7.243459692125735e-52,1.0,reroute
75,52,77,8,22,2,6.6359148322053766e-52,7.739369434786319e-51,1.0,reroute
76,52,77,10,22,2,3.1944811759687235e-60,1.1070266975807751e-41,1.0,reroute
77,52,77,9,22,2,1.771639168544384e-51,1.0,1.0182878723111545e-49,speed
78,52,77,4,22,2,1.0,4.758731807149171e-53,8.297353703814865e-61,schedule
79,52,77,3,22,2,2.1365685787323263e-60,4.715961116489658e-55,1.0,reroute
80,55,65,46,9,0,1.078655981495933e-60,1.0,1.0307387638564027e-58,speed
81,57,82,9,29,1,4.419126965537712e-53,1.0,6.741599884349575e-60,speed
82,57,69,11,27,2,1.2038998854568415e-45,5.251254452205451e-52,1.0,reroute
83,61,88,45,54,2,1.6518579187397247e-57,1.0,1.2553709463413568e-56,speed
84,68,99,47,33,2,3.897038253376939e-32,9.044115537158207e-59,1.0,reroute
85,70,87,23,27,1,6.897420384644885e-53,2.9230695253645723e-44,1.0,reroute
86,70,87,22,27,1,1.0,4.452514220380346e-53,1.980752366094544e-55,schedule
87,70,87,21,27,1,1.0,1.9759201486809725e-52,3.1820351454129984e-59,schedule
88,70,87,20,27,1,1.0,5.621457134334575e-60,1.983770790188075e-48,schedule
89,70,87,19,27,1,3.318941481525946e-61,2.435885814727853e-38,1.0,reroute
90,70,91,39,26,1,5.581816527014602e-57,1.0,1.4553667253000892e-51,speed
91,70,87,28,28,1,3.289649118947854e-44,1.3751935565072558e-49,1.0,reroute
92,70,87,26,28,1,1.8768804208991824e-18,1.0,5.451589501078757e-48,speed
93,70,87,25,28,1,9.167479690915242e-49,5.104814808274409e-35,1.0,reroute
94,70,87,24,28,1,1.0,8.254079844993944e-45,4.3274247504296283e-51,schedule
95,76,77,40,20,1,2.2005162837276285e-55,1.0,5.6816039497922655e-52,speed
96,78,97,48,15,1,1.0,2.1112253490132386e-55,1.55448130878392e-42,schedule
97,95,99,28,59,0,5.4944604956630235e-31,7.715077987994431e-55,1.0,reroute
