plan_a,plan_b,cell_x,cell_y,cell_z,time_a,time_b,time_gap,required_gap,tried_delay_a,tried_delay_b,tried_speed_a,tried_speed_b,tried_reroute,reason_failed
7,64,55,29,1,43.30228109811462,64.45019177394302,-21.1479106758284,35.42897906161704,False,False,False,False,False,remaining_after_repair
1,96,56,25,1,856.5582355103147,830.2418096855127,26.316425824801968,43.213110749168294,False,False,False,False,False,remaining_after_repair
1,96,55,24,1,883.5190577096341,848.956502226967,34.56255548266711,44.10833438784075,False,False,False,False,False,remaining_after_repair
38,40,33,31,2,940.650791027492,925.4849696824306,15.165821345061431,44.73308974735894,False,False,False,False,False,remaining_after_repair
2,8,5,29,2,723.4816264431262,769.8151405664951,-46.3335141233689,52.46312855884857,False,False,False,False,False,remaining_after_repair
45,69,32,25,1,828.2895810173353,796.5058660862669,31.783714931068403,45.80304130051539,False,False,False,False,False,remaining_after_repair
4,52,52,8,1,563.2609779501943,543.149001843918,20.111976106276302,46.65266801245027,False,False,False,False,False,remaining_after_repair
5,85,29,1,1,336.1021673078509,365.5751618955428,-29.472994587691915,46.42127988535624,False,False,False,False,False,remaining_after_repair
5,85,28,1,1,347.1553898111814,354.170207318257,-7.014817507075577,46.41438606338464,False,False,False,False,False,remaining_after_repair
5,85,27,1,1,358.2086123145119,342.76525274097116,15.44335957354076,46.40749224141304,False,False,False,False,False,remaining_after_repair
5,85,26,1,1,369.26183481784244,331.36029816368534,37.9015366541571,46.400598419441444,False,False,False,False,False,remaining_after_repair
24,95,28,51,2,936.7770534118835,984.5481168410954,-47.77106342921195,50.0856463734379,False,False,False,False,False,remaining_after_repair
6,26,36,50,2,455.3908806743501,452.858932694426,2.531947979924098,48.06374429876104,False,False,False,False,False,remaining_after_repair
7,72,43,38,1,203.8393936310057,221.6568344288689,-17.817440797863213,41.89106059918025,False,False,False,False,False,remaining_after_repair
7,13,1,49,1,658.4828036635417,625.5047105292726,32.9780931342691,57.67140548445616,False,False,False,False,False,remaining_after_repair
8,22,6,30,2,756.7471494126805,742.920999271653,13.826150141027483,51.023232907145385,False,False,False,False,False,remaining_after_repair
10,57,37,4,1,1445.2008610483026,1400.3423572108281,44.85850383747447,55.1524391879875,False,False,False,False,False,remaining_after_repair
41,53,35,48,1,451.19207642731925,471.655200739673,-20.463124312353727,44.25391165257031,False,False,False,False,False,remaining_after_repair
13,33,13,48,1,505.3991561084635,499.2046366442033,6.194519464260225,43.64374004036258,False,False,False,False,False,remaining_after_repair
34,86,13,48,1,1796.8746452010005,1822.6202873397835,-25.74564213878307,44.9618350269313,False,False,False,False,False,remaining_after_repair
14,70,41,25,1,425.61547572060454,406.88825252739576,18.727223193208772,39.09126447895236,False,False,False,False,False,remaining_after_repair
67,72,51,30,1,345.37453033875255,319.5528897605417,25.82164057821086,46.5993869866344,False,False,False,False,False,remaining_after_repair
18,78,43,20,1,130.09576799066366,126.00440770634029,4.091360284323372,38.17027293147562,False,False,False,False,False,remaining_after_repair
30,81,37,35,1,766.5120251407762,783.4102727405088,-16.8982475997326,46.82476584723375,False,False,False,False,False,remaining_after_repair
30,35,30,43,1,870.5515862623822,907.2353028741318,-36.68371661174956,42.70415215431852,False,False,False,False,False,remaining_after_repair
19,37,27,46,2,1778.613707170962,1745.0478451240983,33.565862046863685,45.19446374765155,False,False,False,False,False,remaining_after_repair
44,95,27,59,0,1557.9183827847182,1554.5870482464968,3.3313345382214266,56.31570897202636,False,False,False,False,False,remaining_after_repair
45,66,37,30,1,931.2906131790671,938.1387619483087,-6.848148769241561,48.42876589556551,False,False,False,False,False,remaining_after_repair
25,44,27,35,1,1889.6816094923795,1848.257428803409,41.42418068897041,44.76499498438494,False,False,False,False,False,remaining_after_repair
26,27,31,45,2,376.9315117642876,340.8204350155773,36.11107674871033,46.399881012669475,False,False,False,False,False,remaining_after_repair
46,47,13,36,2,846.2827718403071,881.7193370388185,-35.4365651985114,42.173047624664136,False,False,False,False,False,remaining_after_repair
27,54,39,46,3,414.47055318041095,378.1924271942866,36.27812598612434,48.8476085139952,False,False,False,False,False,remaining_after_repair
31,64,5,16,2,511.99136565125707,532.2703639440559,-20.27899829279886,52.58853223433359,False,False,False,False,False,remaining_after_repair
33,82,1,21,0,767.8247135130234,767.4265604465899,0.3981530664335651,40.73391059084759,False,False,False,False,False,remaining_after_repair
36,94,37,19,2,240.53945568112096,270.3246648965879,-29.78520921546692,43.803893294159224,False,False,False,False,False,remaining_after_repair
37,44,27,47,1,1726.551937642186,1697.4216084562572,29.13032918592876,37.7584964471278,False,False,False,False,False,remaining_after_repair
51,96,24,13,1,1232.4913839858816,1201.7832402095717,30.708143776309953,42.95331799565337,False,False,False,False,False,remaining_after_repair
55,65,46,9,0,678.7413442821127,658.8090744124119,19.932269869700804,34.42651810103928,False,False,False,False,False,remaining_after_repair
57,82,9,29,1,932.7253091790953,917.6648952843886,15.060413894706699,40.04163776719743,False,False,False,False,False,remaining_after_repair
57,96,26,13,1,1217.2224539891579,1183.0595520999973,34.162901889160594,50.29087823200147,False,False,False,False,False,remaining_after_repair
61,88,45,54,2,1302.383912721169,1269.5024847844345,32.88142793673455,57.92445671892954,False,False,False,False,False,remaining_after_repair
65,76,32,28,2,939.1026690243591,978.7915709977046,-39.68890197334554,42.46188903820735,False,False,False,False,False,remaining_after_repair
68,99,47,33,2,1347.2399498885025,1363.9669902758192,-16.72704038731672,42.52433851265664,False,False,False,False,False,remaining_after_repair
