segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,52,77,19,34,52,31,49,81.12232580895437,25:20:2;24:20:2;23:20:2;22:20:2;21:21:2;20:21:2;19:21:2;18:21:2;17:21:2;16:21:2;15:21:2;14:21:2;13:21:2;12:21:2;11:21:2;10:22:2;9:22:2;8:22:2;7:23:2
1,21,56,14,23,36,24,37,46.65734127106123,15:34:2;15:33:2;15:32:2;15:31:2;15:30:2;15:29:2;15:28:2;15:27:2;15:26:2;15:25:2;15:24:2;15:23:2;15:22:2;15:21:2
2,70,87,12,20,31,14,25,74.50640554586002,29:28:1;28:28:1;27:28:1;26:28:1;25:28:1;24:28:1;23:27:1;22:27:1;21:27:1;20:27:1;19:27:1;18:26:1
3,5,85,7,6,12,43,49,79.7016947769897,50:1:1;49:1:1;48:1:1;47:1:1;46:1:1;45:1:1;44:1:1
4,73,81,4,9,12,19,22,20.4005819187103,41:20:1;40:21:1;39:22:1;38:23:1
5,2,53,3,28,30,23,25,79.00782382601565,23:31:2;22:30:2;21:29:2
6,20,28,3,41,43,33,35,40.95645753814132,9:27:1;8:27:1;7:27:1
7,1,96,2,33,34,3,4,34.86491714903876,56:25:1;55:24:1
8,2,79,2,36,37,22,23,0.37876465494655065,15:29:2;14:29:2
9,14,39,2,10,11,19,20,23.233364582641798,46:24:1;45:25:1
10,16,89,2,30,31,20,21,81.86264913939769,34:31:1;33:32:1
11,29,73,2,16,17,5,6,66.3064424909799,45:16:1;44:17:1
12,39,73,2,9,10,3,4,5.978788354962532,47:14:1;46:15:1
13,45,77,2,21,22,24,25,61.45174310087482,31:20:1;32:21:1
14,52,77,2,55,56,52,53,85.92305922748974,4:22:2;3:22:2
15,70,87,2,35,36,29,30,82.84592410418375,14:26:1;13:26:1
16,78,97,2,3,4,3,4,28.5400107826908,49:15:1;48:15:1
17,1,85,1,58,58,55,55,112.4712844670755,56:0:1
18,2,26,1,35,35,6,6,41.72618191456013,16:29:2
19,2,61,1,6,6,31,31,1.1545828100968123,45:31:2
20,2,62,1,17,17,18,18,65.15971488285041,34:31:2
21,3,16,1,15,15,28,28,75.10304419098858,34:29:1
22,3,89,1,16,16,19,19,71.13382442097662,35:30:1
23,4,21,1,5,5,31,31,12.203225426274017,15:26:2
24,4,56,1,5,5,32,32,62.97917075312972,15:26:2
25,6,92,1,13,13,5,5,35.262518021637874,17:51:2
26,7,27,1,23,23,33,33,75.1559906757316,35:46:2
27,7,29,1,15,15,38,38,9.836097653650995,43:38:1
28,8,21,1,18,18,16,16,30.520452079057236,16:41:2
29,8,30,1,5,5,38,38,72.66799299061637,28:54:1
30,8,56,1,21,21,20,20,60.24361611948832,13:38:2
31,9,32,1,48,48,56,56,20.197281574891306,3:51:2
32,9,63,1,1,1,0,0,36.59352842291121,29:4:0
33,10,49,1,11,11,44,44,59.64976345308946,13:10:1
34,10,49,1,13,13,42,42,9.121221502406854,15:10:1
35,11,54,1,3,3,46,46,43.12785272743396,39:53:1
36,11,82,1,11,11,35,35,84.49200807959888,35:45:1
37,13,23,1,11,11,27,27,73.30723850148628,37:36:1
38,13,75,1,45,45,3,3,55.78243748339759,3:49:1
39,14,29,1,13,13,25,25,31.589021570318877,43:25:1
