plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
1,96,2,41.04401115623864,76.77623400017386,56:25:1;55:24:1
1,85,1,5.546347841324177,118.01763230839968,56:0:1
2,61,1,74.29492627566128,75.4495090857581,45:31:2
2,62,1,8.058544442187895,73.2182593250383,34:31:2
38,40,1,10.942084734018863,78.59349649318845,33:31:2
2,53,3,10.066896289996976,89.07472011601263,23:31:2;22:30:2;21:29:2
2,26,1,37.26251818602009,78.98870010058022,16:29:2
21,56,14,47.380248893485714,94.03759016454694,15:29:2;15:26:2;15:34:2;15:33:2;15:32:2;15:31:2;15:30:2;15:28:2;15:27:2;15:25:2;15:24:2;15:23:2;15:22:2;15:21:2
2,79,2,94.4745416138669,96.05325215601194,15:29:2;14:29:2
69,92,1,26.70884422628467,86.38329575665793,32:25:1
3,16,1,4.479491405220642,79.58253559620923,34:29:1
3,89,1,6.312326357865459,77.44615077884208,35:30:1
11,54,1,33.73097137561558,76.85882410304954,39:53:1
4,21,1,63.890226530396376,76.09345195667039,15:26:2
4,56,1,9.883933744429214,72.86310449755894,15:26:2
52,77,21,21.73922977386951,107.66228900135926,19:21:2;14:21:2;15:21:2;11:21:2;25:20:2;24:20:2;23:20:2;22:20:2;21:21:2;20:21:2;18:21:2;17:21:2;16:21:2;13:21:2;12:21:2;7:23:2;8:22:2;10:22:2;9:22:2;4:22:2;3:22:2
5,85,7,4.69319464549676,84.44659308727347,50:1:1;49:1:1;48:1:1;47:1:1;46:1:1;45:1:1;44:1:1
6,92,1,27.833901272407218,63.09641929404509,17:51:2
24,95,1,53.43685507647035,92.97653325974137,28:51:2
7,29,1,69.96279192794714,79.79888958159813,43:38:1
31,32,1,35.438252851345624,73.05409800585946,36:45:2
7,27,1,10.08735273604475,85.24334341177635,35:46:2
8,30,1,5.825158138585266,78.49315112920164,28:54:1
8,21,1,44.82017157329892,75.34062365235616,16:41:2
8,56,1,16.044640127005778,76.2882562464941,13:38:2
9,63,1,16.86471006927468,53.45823849218589,29:4:0
9,32,1,93.94988899231498,114.14717056720629,3:51:2
10,49,2,29.12253075240301,89.11996206894497,13:10:1;15:10:1
11,82,1,4.797593928444485,89.28960200804336,35:45:1
16,89,2,7.1484755478174975,90.55371866677785,33:32:1;34:31:1
13,23,1,4.380241389744128,77.68747989123041,37:36:1
34,86,1,25.745642138780568,80.44462358278803,13:48:1
13,75,1,25.84403953439039,81.62647701778798,3:49:1
49,84,1,41.10578771441578,71.84687158026729,51:24:1
14,39,2,47.056360591360544,71.64363825319413,46:24:1;45:25:1
14,29,1,39.34190524589212,70.930926816211,43:25:1
23,91,1,46.901631392217894,80.5148088975879,38:25:1
14,81,1,29.567487762618384,76.88831187771845,38:25:1
14,73,1,29.796645167650922,74.51621464280188,36:25:1
70,87,14,0.08088483704239025,87.69881213049942,18:26:1;14:26:1;13:26:1;29:28:1;27:28:1;23:27:1;22:27:1;21:27:1;20:27:1;19:27:1;28:28:1;26:28:1;25:28:1;24:28:1
20,26,1,31.26138245512493,84.70811869498925,12:26:1
87,88,1,26.846873502723724,77.22043147177274,8:26:1
82,87,1,48.82075684976485,78.42624567479162,6:26:1
15,23,1,0.4350483569152175,97.06572897399067,37:51:2
15,24,1,31.063880154481126,79.62165697655453,37:51:2
23,24,1,30.62883179756591,86.48618787321439,37:51:2
49,65,1,2.5104686921807797,69.05872889976999,41:16:1
16,58,1,37.21442463195058,80.68525810404705,41:16:1
78,80,1,21.09480633259045,72.53894657730129,38:22:1
66,76,1,58.158561845766144,70.14005338263821,36:24:1
32,67,1,37.37662495783843,73.51072970945212,51:34:1
45,67,1,29.99657960628042,94.56950682154007,51:31:1
77,84,1,51.09280551469885,73.9255922079529,53:14:1
18,97,1,14.095569692104846,58.23974857486091,45:15:1
29,73,2,0.01821592426153984,66.32465841524144,45:16:1;44:17:1
18,78,1,24.7720786282257,63.46571834414905,43:20:1
18,80,1,32.525251976990376,69.97830281573303,43:27:1
39,81,1,3.218750229342504,93.61286006530192,37:35:1
30,35,1,36.68371661174842,74.80041640125633,30:43:1
45,77,2,15.947386095122397,77.39912919599722,31:20:1;32:21:1
78,86,1,56.61464979475363,73.85420600676099,27:23:1
20,28,3,69.95842953250349,110.91488707064481,9:27:1;8:27:1;7:27:1
38,65,1,39.97251859101186,79.03122209605158,32:30:2
22,33,1,36.86852177792264,85.49452165140693,12:30:2
23,70,1,54.15285278320317,72.39842549053986,37:27:1
25,44,1,62.13285825125308,78.93781692168413,27:35:1
68,74,1,89.0896490389066,91.9139780256742,11:35:2
46,47,1,35.436565198512426,73.47265507712024,13:36:2
27,89,1,36.56687991198464,92.38032419688122,24:45:2
70,88,1,71.51309725589613,78.66955062985127,10:28:1
31,63,1,22.711976554523517,79.25631105266851,28:37:3
33,48,1,11.774885827835874,75.7968686907486,11:19:2
35,95,1,55.232352236736915,82.35211915826886,28:41:2
36,94,1,5.745234255526384,77.54976925085803,37:19:2
36,95,1,29.5717488629424,81.36154423659319,28:19:2
37,44,1,19.82135787460811,60.74185882360295,27:47:1
39,73,2,57.778725854855566,63.7575142098181,47:14:1;46:15:1
78,97,2,27.625502839492356,56.95266195380823,49:15:1;48:15:1
40,65,1,23.93309707993626,81.15825879519609,32:32:2
43,44,1,38.091872840152064,79.8312077496813,27:30:1
45,60,1,4.655869809890191,93.24628054243432,58:31:1
49,69,1,45.34473792329538,66.94518487035978,47:20:1
49,92,1,31.68217543985213,96.14361159403396,33:11:1
53,66,1,30.816165081756935,82.749060548981,37:50:1
55,65,1,6.072642052203719,53.42722198402254,46:9:0
61,88,1,21.59189517558434,111.95515807119715,45:54:2
65,76,1,61.28289378130114,73.43368032546474,32:28:2
66,77,1,45.563899701271794,74.61179203928403,36:21:1
70,91,1,18.20171964817621,75.19201235980437,39:26:1
73,81,4,57.44612030229405,77.84670222100435,41:20:1;40:21:1;39:22:1;38:23:1
81,93,1,50.224764363020086,84.64424643752126,40:21:1
76,77,1,20.812116192414805,63.13121346195257,40:20:1
