stage,iter,action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,runtime_ms,rollback,reason
greedy_time,0,delay,77,92,90,160,158,True,23.958400008268654,False,pairs_decreased
greedy_time,0,delay,77,92,92,160,146,False,7.934099994599819,True,rollback
greedy_time,0,delay,77,92,92,160,147,False,7.961799972690642,True,rollback
greedy_time,0,delay,77,92,92,160,160,False,7.905899896286428,True,rollback
greedy_time,0,delay,77,92,93,160,161,False,8.51479999255389,True,rollback
greedy_time,0,delay,77,92,91,160,159,True,7.904199999757111,False,pairs_decreased
greedy_time,0,delay,77,92,92,160,159,False,8.053399971686304,True,rollback
greedy_time,0,delay,77,92,90,160,157,True,7.894799928180873,False,pairs_decreased
greedy_time,0,delay,77,92,94,160,152,False,8.02890001796186,True,rollback
greedy_time,0,delay,77,92,95,160,143,False,7.83790007699281,True,rollback
greedy_time,0,delay,77,92,92,160,140,False,7.923300028778613,True,rollback
greedy_time,0,delay,77,92,91,160,138,True,7.899300078861415,False,pairs_decreased
greedy_time,0,speed,77,92,93,160,161,False,8.414199925027788,True,rollback
greedy_time,0,speed,77,92,92,160,160,False,8.309400058351457,True,rollback
greedy_time,0,speed,77,92,92,160,160,False,23.51600001566112,True,rollback
greedy_time,0,speed,77,92,93,160,161,False,8.846799959428608,True,rollback
greedy_time,0,speed,77,92,93,160,161,False,9.30770009290427,True,rollback
greedy_time,1,delay,2,90,88,157,152,True,7.945000077597797,False,pairs_decreased
greedy_time,1,delay,2,90,89,157,153,True,7.963499985635281,False,pairs_decreased
greedy_time,1,delay,2,90,87,157,151,True,7.961599971167743,False,pairs_decreased
greedy_time,1,delay,2,90,89,157,155,True,7.888399995863438,False,pairs_decreased
greedy_time,1,delay,2,90,90,157,156,False,7.880300050601363,True,rollback
greedy_time,1,delay,2,90,89,157,156,True,8.090000017546117,False,pairs_decreased
greedy_time,1,delay,2,90,89,157,156,True,7.995299994945526,False,pairs_decreased
greedy_time,1,delay,2,90,89,157,156,True,7.8437000047415495,False,pairs_decreased
greedy_time,1,delay,2,90,87,157,152,True,7.923500030301511,False,pairs_decreased
greedy_time,1,delay,2,90,87,157,152,True,7.802400039508939,False,pairs_decreased
greedy_time,1,delay,2,90,86,157,153,True,7.8677000710740685,False,pairs_decreased
greedy_time,1,delay,2,90,85,157,149,True,10.799100040458143,False,pairs_decreased
greedy_time,1,speed,2,90,89,157,156,True,22.949800011701882,False,pairs_decreased
greedy_time,1,speed,2,90,89,157,156,True,8.88079998549074,False,pairs_decreased
greedy_time,1,speed,2,90,89,157,155,True,9.022500016726553,False,pairs_decreased
greedy_time,1,speed,2,90,88,157,154,True,8.732000016607344,False,pairs_decreased
greedy_time,1,speed,2,90,88,157,154,True,8.255799999460578,False,pairs_decreased
greedy_time,2,delay,49,85,82,149,145,True,8.21110000833869,False,pairs_decreased
greedy_time,2,delay,49,85,83,149,146,True,8.046000031754375,False,pairs_decreased
greedy_time,2,delay,49,85,84,149,147,True,8.648199960589409,False,pairs_decreased
greedy_time,2,delay,49,85,86,149,149,False,8.274399908259511,True,rollback
greedy_time,2,delay,49,85,87,149,150,False,8.475200040265918,True,rollback
greedy_time,2,delay,49,85,85,149,150,False,7.980299997143447,True,rollback
greedy_time,2,delay,49,85,85,149,150,False,7.8578999964520335,True,rollback
greedy_time,2,delay,49,85,84,149,149,True,7.910299929790199,False,pairs_decreased
greedy_time,2,delay,49,85,84,149,148,True,9.862000006251037,False,pairs_decreased
greedy_time,2,delay,49,85,83,149,146,True,22.070900071412325,False,pairs_decreased
greedy_time,2,delay,49,85,84,149,148,True,8.14569997601211,False,pairs_decreased
greedy_time,2,delay,49,85,82,149,145,True,7.954600034281611,False,pairs_decreased
greedy_time,2,speed,49,85,86,149,151,False,8.207400096580386,True,rollback
greedy_time,2,speed,49,85,85,149,150,False,8.159099961631,True,rollback
greedy_time,2,speed,49,85,86,149,149,False,8.296400075778365,True,rollback
greedy_time,2,speed,49,85,87,149,150,False,8.438099990598857,True,rollback
greedy_time,2,speed,49,85,86,149,149,False,8.296699961647391,True,rollback
greedy_time,3,delay,23,82,78,145,141,True,8.124300045892596,False,pairs_decreased
greedy_time,3,delay,23,82,80,145,143,True,7.804600056260824,False,pairs_decreased
greedy_time,3,delay,23,82,80,145,143,True,8.404599968343973,False,pairs_decreased
greedy_time,3,delay,23,82,81,145,144,True,8.423899998888373,False,pairs_decreased
greedy_time,3,delay,23,82,82,145,145,False,7.936600013636053,True,rollback
greedy_time,3,delay,23,82,81,145,144,True,7.937400019727647,False,pairs_decreased
greedy_time,3,delay,23,82,81,145,144,True,12.770999921485782,False,pairs_decreased
greedy_time,3,delay,23,82,80,145,143,True,20.412400015629828,False,pairs_decreased
greedy_time,3,delay,23,82,79,145,142,True,8.202100056223571,False,pairs_decreased
greedy_time,3,delay,23,82,79,145,142,True,7.973200059495866,False,pairs_decreased
greedy_time,3,delay,23,82,80,145,151,True,8.327499963343143,False,pairs_decreased
greedy_time,3,delay,23,82,81,145,144,True,8.081000065430999,False,pairs_decreased
greedy_time,3,speed,23,82,82,145,145,False,8.218300063163042,True,rollback
greedy_time,3,speed,23,82,82,145,145,False,8.087900001555681,True,rollback
greedy_time,3,speed,23,82,82,145,145,False,8.023199974559247,True,rollback
greedy_time,3,speed,23,82,82,145,145,False,8.311500074341893,True,rollback
greedy_time,3,speed,23,82,81,145,144,True,8.268599980510771,False,pairs_decreased
greedy_time,4,delay,73,78,82,141,142,False,7.882699952460825,True,rollback
greedy_time,4,delay,73,78,79,141,137,False,7.866899948567152,True,rollback
greedy_time,4,delay,73,78,78,141,136,False,7.838899968191981,True,rollback
greedy_time,4,delay,73,78,77,141,135,True,12.665000045672059,False,pairs_decreased
greedy_time,4,delay,73,78,77,141,136,True,19.25060001667589,False,pairs_decreased
greedy_time,4,delay,73,78,78,141,146,False,8.254199987277389,True,rollback
greedy_time,4,delay,73,78,79,141,147,False,8.335400023497641,True,rollback
greedy_time,4,delay,73,78,78,141,145,False,8.041199995204806,True,rollback
greedy_time,4,delay,73,78,78,141,145,False,8.395000011660159,True,rollback
greedy_time,4,delay,73,78,78,141,136,False,7.970400038175285,True,rollback
greedy_time,4,delay,73,78,76,141,134,True,8.162399986758828,False,pairs_decreased
greedy_time,4,delay,73,78,75,141,142,True,8.657700032927096,False,pairs_decreased
greedy_time,4,speed,73,78,78,141,145,False,8.16199998371303,True,rollback
greedy_time,4,speed,73,78,78,141,143,False,8.118400000967085,True,rollback
greedy_time,4,speed,73,78,79,141,140,False,8.147599990479648,True,rollback
greedy_time,4,speed,73,78,78,141,137,False,8.069299976341426,True,rollback
greedy_time,4,speed,73,78,79,141,138,False,8.142499951645732,True,rollback
greedy_time,5,delay,78,75,74,142,144,True,14.045199961401522,False,pairs_decreased
greedy_time,5,delay,78,75,72,142,139,True,20.296100061386824,False,pairs_decreased
greedy_time,5,delay,78,75,72,142,139,True,8.516000001691282,False,pairs_decreased
greedy_time,5,delay,78,75,73,142,140,True,8.203299948945642,False,pairs_decreased
greedy_time,5,delay,78,75,74,142,141,True,8.08390008751303,False,pairs_decreased
greedy_time,5,delay,78,75,74,142,140,True,7.840399979613721,False,pairs_decreased
greedy_time,5,delay,78,75,74,142,140,True,8.18709994200617,False,pairs_decreased
greedy_time,5,delay,78,75,74,142,140,True,7.9237999161705375,False,pairs_decreased
greedy_time,5,delay,78,75,74,142,140,True,7.7896000584587455,False,pairs_decreased
greedy_time,5,delay,78,75,74,142,140,True,7.860500016249716,False,pairs_decreased
greedy_time,5,delay,78,75,73,142,139,True,8.059100015088916,False,pairs_decreased
greedy_time,5,delay,78,75,72,142,138,True,7.816499914042652,False,pairs_decreased
greedy_time,5,speed,78,75,75,142,142,False,8.198100025765598,True,rollback
greedy_time,5,speed,78,75,75,142,142,False,8.083700085990131,True,rollback
greedy_time,5,speed,78,75,75,142,142,False,13.587999972514808,True,rollback
greedy_time,5,speed,78,75,74,142,141,True,19.14680004119873,False,pairs_decreased
greedy_time,5,speed,78,75,74,142,141,True,8.26739997137338,False,pairs_decreased
greedy_time,6,delay,44,72,69,138,135,True,7.988099940121174,False,pairs_decreased
greedy_time,6,delay,44,72,69,138,136,True,7.935000001452863,False,pairs_decreased
greedy_time,6,delay,44,72,70,138,137,True,8.406899985857308,False,pairs_decreased
greedy_time,6,delay,44,72,70,138,137,True,8.06590006686747,False,pairs_decreased
greedy_time,6,delay,44,72,72,138,138,False,8.12949996907264,True,rollback
greedy_time,6,delay,44,72,73,138,139,False,7.844100007787347,True,rollback
greedy_time,6,delay,44,72,72,138,139,False,8.127399953082204,True,rollback
greedy_time,6,delay,44,72,71,138,139,True,8.256100001744926,False,pairs_decreased
greedy_time,6,delay,44,72,71,138,139,True,8.260800037533045,False,pairs_decreased
greedy_time,6,delay,44,72,69,138,137,True,8.118600002489984,False,pairs_decreased
greedy_time,6,delay,44,72,69,138,135,True,8.413400035351515,False,pairs_decreased
greedy_time,6,delay,44,72,68,138,134,True,12.743000057525933,False,pairs_decreased
greedy_time,6,speed,44,72,72,138,138,False,19.196500070393085,True,rollback
greedy_time,6,speed,44,72,72,138,138,False,8.569899946451187,True,rollback
greedy_time,6,speed,44,72,73,138,139,False,8.447099942713976,True,rollback
greedy_time,6,speed,44,72,72,138,138,False,8.223000098951161,True,rollback
greedy_time,6,speed,44,72,71,138,137,True,8.309499942697585,False,pairs_decreased
greedy_time,7,delay,65,68,68,134,139,False,7.960500079207122,True,rollback
greedy_time,7,delay,65,68,65,134,131,True,8.151000016368926,False,pairs_decreased
greedy_time,7,delay,65,68,66,134,132,True,7.819200051017106,False,pairs_decreased
greedy_time,7,delay,65,68,66,134,132,True,8.037099963985384,False,pairs_decreased
greedy_time,7,delay,65,68,67,134,133,True,7.812600000761449,False,pairs_decreased
greedy_time,7,delay,65,68,69,134,140,False,7.799399900250137,True,rollback
greedy_time,7,delay,65,68,68,134,140,False,7.811999996192753,True,rollback
greedy_time,7,delay,65,68,68,134,141,False,7.838399964384735,True,rollback
greedy_time,7,delay,65,68,69,134,143,False,13.412100030109286,True,rollback
greedy_time,7,delay,65,68,68,134,136,False,21.578800049610436,True,rollback
greedy_time,7,delay,65,68,68,134,139,False,8.315899991430342,True,rollback
