plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
1,85,56,0,1,58,55,1115.0683331311498,1109.5219852898256,5.546347841324177,5.546347841324177,30.0,deterministic
38,40,33,31,2,21,20,914.5428849484113,925.4849696824301,-10.942084734018863,10.942084734018863,30.0,deterministic
2,53,23,31,2,28,23,1375.8626959334144,1360.116347430489,15.746348502925457,15.746348502925457,30.0,deterministic
2,53,22,30,2,29,24,1392.1237790093965,1374.2840529029322,17.83972610646424,17.83972610646424,30.0,deterministic
2,53,21,29,2,30,25,1408.3848620853785,1388.4517583753754,19.933103710003024,19.933103710003024,30.0,deterministic
69,92,32,25,1,26,31,781.7387717222873,755.0299274960026,26.70884422628467,26.70884422628467,30.0,deterministic
3,16,34,29,1,15,28,1268.1010697679676,1263.621578362747,4.479491405220642,4.479491405220642,30.0,deterministic
3,89,35,30,1,16,19,1280.7069174828061,1274.3945911249407,6.312326357865459,6.312326357865459,30.0,deterministic
4,56,15,26,2,5,32,1336.2934793474717,1326.4095456030425,9.883933744429214,9.883933744429214,30.0,deterministic
52,77,19,21,2,40,37,1060.704790001902,1035.2628746853727,25.441915316529276,25.441915316529276,30.0,deterministic
4,64,23,17,2,14,35,1464.192177977143,1463.3812209277542,0.8109570493888896,0.8109570493888896,30.0,deterministic
4,64,24,17,2,15,34,1474.5788700642763,1455.0636301878121,19.515239876464193,19.515239876464193,30.0,deterministic
4,62,41,8,2,32,41,1698.4780315830658,1700.8200747132917,-2.342043130225875,2.342043130225875,30.0,deterministic
5,85,48,1,1,8,47,995.7932793722578,1013.5582618073773,-17.764982435119578,17.764982435119578,30.0,deterministic
5,85,47,1,1,9,46,1006.8465018755883,1002.1533072300915,4.69319464549676,4.69319464549676,30.0,deterministic
5,85,46,1,1,10,45,1017.8997243789188,990.7483526528057,27.151371726113098,27.151371726113098,30.0,deterministic
6,92,17,51,2,13,5,404.18945349576666,432.0233547681739,-27.833901272407218,27.833901272407218,30.0,deterministic
7,27,35,46,2,23,33,1635.050503463345,1645.1378561993897,-10.08735273604475,10.08735273604475,30.0,deterministic
8,30,28,54,1,5,38,977.6329778285742,983.4581359671595,-5.825158138585266,5.825158138585266,30.0,deterministic
