segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,14,69,18,15,32,17,34,45.36816562768958,41:25:1;40:25:1;39:25:1;38:25:1;37:25:1;36:25:1;35:25:1;34:25:1;33:25:1;32:25:1;31:25:1;30:25:1;29:25:1;28:25:1;27:25:1;26:25:1;25:26:1;24:26:1
1,6,24,2,11,12,38,39,27.050268742323638,15:51:2;16:51:2
2,14,28,2,50,51,36,37,43.61246050882856,6:26:1;5:26:1
3,25,88,2,26,27,24,25,26.451273236052067,24:41:1;25:42:1
4,2,73,1,21,21,20,20,11.529001406878628,30:31:2
5,6,92,1,13,13,5,5,12.397899955547487,17:51:2
6,7,15,1,25,25,24,24,23.940854058411176,33:47:2
7,8,56,1,41,41,39,39,14.41187325893327,0:20:0
8,9,32,1,48,48,56,56,21.43826542712266,3:51:2
9,9,63,1,1,1,0,0,17.3025709214157,29:4:0
10,10,52,1,57,57,1,1,45.273142167908986,58:2:0
11,11,82,1,11,11,35,35,16.768935234673933,35:45:1
12,14,16,1,21,21,24,24,30.365441417774413,35:25:1
13,14,71,1,7,7,57,57,36.92721685353414,49:24:1
14,16,34,1,53,53,22,22,44.7316065316097,31:54:1
15,16,69,1,24,24,23,23,34.6891908584873,35:25:1
16,22,33,1,50,50,24,24,19.241089537703175,12:30:2
17,22,65,1,30,30,21,21,0.015429967135602851,32:30:2
18,23,83,1,30,30,27,27,36.54602586907063,37:39:2
19,27,95,1,26,26,45,45,40.012848786174885,28:45:2
20,29,49,1,17,17,13,13,9.962605904182219,44:17:1
21,31,63,1,14,14,33,33,31.699966349154266,28:37:3
22,34,44,1,18,18,6,6,17.577241253498855,27:53:1
23,36,79,1,46,46,32,32,2.984002802575823,7:20:2
24,37,44,1,3,3,12,12,29.31132061468623,27:47:1
25,39,81,1,30,30,34,34,47.87465790750526,37:35:1
26,45,60,1,63,63,26,26,37.50339364402704,58:31:1
27,46,47,1,18,18,12,12,12.789174846670846,13:36:2
28,51,95,1,14,14,24,24,12.620067075904508,29:24:2
29,58,73,1,26,26,8,8,37.67504037571279,42:19:1
30,65,80,1,12,12,21,21,6.440537995968725,36:21:2
31,68,99,1,8,8,26,26,28.063771369304895,47:33:2
32,73,79,1,30,30,10,10,15.06445411551831,27:41:2
33,73,96,1,4,4,13,13,27.592631375813482,46:15:1
34,76,77,1,2,2,16,16,26.828464561877887,40:20:1
35,78,86,1,25,25,11,11,31.34494864575032,27:23:1
