plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
2,73,1,34.422528981855976,45.951530388734604,30:31:2
46,47,1,29.26287058709397,42.05204543376482,13:36:2
14,69,18,1.6582376835663126,47.02640331125589,32:25:1;41:25:1;40:25:1;39:25:1;38:25:1;37:25:1;36:25:1;35:25:1;34:25:1;33:25:1;31:25:1;30:25:1;29:25:1;28:25:1;27:25:1;26:25:1;25:26:1;24:26:1
6,24,2,16.364115981640737,43.414384723964375,15:51:2;16:51:2
6,92,1,25.667121459837233,38.06502141538472,17:51:2
7,15,1,22.598416809674973,46.53927086808615,33:47:2
34,44,1,21.725012381143642,39.3022536346425,27:53:1
8,56,1,37.85368875932363,52.2655620182569,0:20:0
9,63,1,16.86471006927468,34.16728099069038,29:4:0
9,32,1,35.866168388867436,57.304433815990095,3:51:2
10,52,1,2.5348317751463583,47.807973943055345,58:2:0
11,82,1,31.028708537043485,47.79764377171742,35:45:1
14,71,1,9.794242865185652,46.72145971871979,49:24:1
16,69,1,12.437493149160218,47.12668400764752,35:25:1
14,16,1,15.550092114948256,45.91553353272267,35:25:1
14,28,2,9.940047984976218,53.55250849380478,6:26:1;5:26:1
16,34,1,9.957650508041297,54.689257039651,31:54:1
29,49,1,31.123743295108824,41.08634919929104,44:17:1
39,81,1,2.337193518393633,50.21185142589889,37:35:1
78,86,1,11.857934844459123,43.202883490209445,27:23:1
22,65,1,44.726322203084635,44.74175217022024,32:30:2
22,33,1,27.91616763367142,47.157257171374596,12:30:2
23,83,1,12.244639451013882,48.790665320084514,37:39:2
25,88,2,20.571860515376102,47.02313375142817,24:41:1;25:42:1
73,79,1,32.14180088728608,47.20625500280439,27:41:2
27,95,1,9.909345169190146,49.92219395536503,28:45:2
31,63,1,12.588119717884638,44.288086067038904,28:37:3
36,79,1,53.43671154325148,56.4207143458273,7:20:2
37,44,1,8.001081665149513,37.312402279835744,27:47:1
73,96,1,11.044946009102773,38.637577384916256,46:15:1
45,60,1,15.322632396098697,52.82602604012574,58:31:1
51,95,1,30.15830385693721,42.77837093284172,29:24:2
58,73,1,5.179524430321408,42.8545648060342,42:19:1
65,80,1,35.9265845370486,42.36712253301732,36:21:2
68,99,1,14.415257021990783,42.47902839129568,47:33:2
76,77,1,11.707540029466031,38.53600459134392,40:20:1
