global_generation,stage,stage_generation,fitness,Nc,Tdelay,Tair,ORISK,delta,n_delay,n_battery
1,stage1,1,2000.906478200925,115,1366.7019909495461,62357.42051840353,1146.0451703766082,0.99999999968,0,2
2,stage1,2,0.8294844611380503,110,9221.008127997171,58669.49183071014,1137.1957978166413,0.99999998976,0,0
3,stage1,3,0.7987554816349477,105,9366.068613688589,58669.49183071014,1137.1957978166413,0.99999992224,0,0
4,stage1,4,0.7863926997067812,103,9168.3128136065,58669.49183071014,1137.1957978166413,0.99999967232,0,0
5,stage1,5,0.7863922735593349,103,9168.3128136065,58669.49183071014,1137.1957978166413,0.999999,0,0
6,stage1,6,0.7824288532379647,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.99999751168,0,0
7,stage1,7,0.7824270324860807,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.99999462176,0,0
8,stage1,8,0.782423814567708,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.99998951424,0,0
9,stage1,9,0.7824185160204522,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.99998110432,0,0
10,stage1,10,0.7824102598350453,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.999968,0,0
11,stage1,11,0.7823979512619882,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.99994846368,0,0
12,stage1,12,0.7823802536181897,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.99992037376,0,0
13,stage1,13,0.7823555640936093,102,7950.184867567248,58888.496663956634,1137.1957978166413,0.99988118624,0,0
14,stage1,14,0.7801221074646388,102,7878.482715027691,58699.74165211658,1137.1957978166413,0.99982789632,0,0
15,stage1,15,0.7800775834453049,102,7878.482715027691,58699.74165211658,1137.1957978166413,0.999757,0,0
16,stage1,16,0.7703870301319701,100,6941.909034386996,58978.508366196824,1134.6604573142451,0.99966445568,0,0
17,stage1,17,0.7703135312392925,100,6941.909034386996,58978.508366196824,1134.6604573142451,0.99954564576,0,0
18,stage1,18,0.7702205471157352,100,6941.909034386996,58978.508366196824,1134.6604573142451,0.99939533824,0,0
19,stage1,19,0.770104437271652,100,6941.909034386996,58978.508366196824,1134.6604573142451,0.99920764832,0,0
20,stage1,20,0.7699611336231804,100,6941.909034386996,58978.508366196824,1134.6604573142451,0.998976,0,0
21,stage1,21,0.7693118992256294,100,6994.1475333125945,58915.68134412673,1137.1957978166413,0.99869308768,0,0
22,stage1,22,0.7686044851133088,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99835083776,0,0
23,stage1,23,0.7683510130411956,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99794037024,0,0
24,stage1,24,0.7680494099461123,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99745196032,0,0
25,stage1,25,0.7676931251715274,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.996875,0,0
26,stage1,26,0.7672750389540975,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99619795968,0,0
27,stage1,27,0.766787438710883,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99540834976,0,0
28,stage1,28,0.7662219953265652,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99449268224,0,0
29,stage1,29,0.7655697394406623,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99343643232,0,0
30,stage1,30,0.7648210377347451,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.992224,0,0
31,stage1,31,0.7639655692196535,100,6944.151066545472,58873.11425827868,1137.1957978166413,0.99083867168,0,0
32,stage1,32,0.7626939532548798,100,6916.298097034074,58847.2329359966,1137.1957978166413,0.98926258176,0,0
33,stage1,33,0.7565382315274013,99,7858.068656393632,58917.48261091469,1137.1957978166413,0.98747667424,0,0
34,stage1,34,0.755304824695157,99,7858.068656393632,58917.48261091469,1137.1957978166413,0.98546066432,0,0
35,stage1,35,0.7539174542076523,99,7858.068656393632,58917.48261091469,1137.1957978166413,0.983193,0,0
36,stage1,36,0.7523621356495684,99,7858.068656393632,58917.48261091469,1137.1957978166413,0.98065082368,0,0
37,stage1,37,0.7506240623384103,99,7858.068656393632,58917.48261091469,1137.1957978166413,0.97780993376,0,0
38,stage1,38,0.748440383818739,99,7868.0172859631775,58894.70303698496,1137.1957978166413,0.97464474624,0,0
39,stage1,39,0.746140979457132,99,7876.668874007274,58880.87508062071,1137.1957978166413,0.97112825632,0,0
40,stage1,40,0.743728643279172,99,7837.167895342112,58879.12288565907,1137.1957978166413,0.967232,0,0
41,stage1,41,0.741027690500296,99,7832.67701628139,58872.94912274891,1137.1957978166413,0.96292601568,0,0
42,stage1,42,0.7381255146047782,99,7832.67701628139,58872.94912274891,1137.1957978166413,0.95817880576,0,0
43,stage1,43,0.7349333799576528,99,7832.67701628139,58872.94912274891,1137.1957978166413,0.95295729824,0,0
44,stage1,44,0.7314300822321267,99,7832.67701628139,58872.94912274891,1137.1957978166413,0.94722680832,0,0
45,stage1,45,0.72759340765103,99,7832.67701628139,58872.94912274891,1137.1957978166413,0.940951,0,0
46,stage1,46,0.7234001095112272,99,7832.67701628139,58872.94912274891,1137.1957978166413,0.93409184768,0,0
47,stage1,47,0.7188079423197701,99,7837.099716908333,58871.118833092965,1137.1957978166413,0.9266095977600001,0,0
48,stage1,48,0.7135546772725594,99,8708.499151894986,58821.55598850444,1137.1957978166413,0.91846273024,0,0
49,stage1,49,0.7081460724104935,99,8708.499151894986,58821.55598850444,1137.1957978166413,0.90960792032,0,0
50,stage1,50,0.7022759448834902,99,8705.462508759314,58821.49010023195,1137.1957978166413,0.9,0,0
