flight_id,CI_rank,strategy,ATD,changed_segments,rerouted,fitness
3,10,scheduling,14.052039944109634,0,False,0.7022759448834902
4,6,scheduling,4.762914753773799,0,False,0.7022759448834902
16,7,speed,885.1697639263501,59,False,0.7022759448834902
18,3,scheduling,175.64418663069716,0,False,0.7022759448834902
41,1,scheduling,78.68539962074817,0,False,0.7022759448834902
49,9,scheduling,2.314587881556122,0,False,0.7022759448834902
62,2,scheduling,154.78851268142418,0,False,0.7022759448834902
64,4,scheduling,1.1345951113715222,0,False,0.7022759448834902
80,8,scheduling,217.34634450395146,0,False,0.7022759448834902
83,5,scheduling,194.3664238484029,0,False,0.7022759448834902
