conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,selected_strategy,target_flight
0,1,96,56,25,1,0.9999999999999897,1.0066022089934753e-14,2.960594732333751e-16,scheduling,1
1,1,96,55,24,1,2.4607723266475052e-11,0.9999999999753916,7.401486830834371e-16,speed,96
2,1,85,56,0,1,0.9999999999999897,1.0066022089934753e-14,2.960594732333751e-16,scheduling,1
3,38,40,33,31,2,0.0006343645779217274,0.9993656354220585,1.9835984706636135e-14,speed,40
4,2,53,23,31,2,2.960594732333751e-16,2.960594732333751e-16,0.9999999999999994,rerouting,2
5,2,53,22,30,2,3.157148616613388e-11,0.9999999999684283,2.960594732333751e-16,speed,53
6,2,53,21,29,2,2.960594732333751e-16,2.960594732333751e-16,0.9999999999999994,rerouting,2
7,2,26,16,29,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,26
8,69,92,32,25,1,0.9999999999999892,1.0510111299784816e-14,2.960594732333751e-16,scheduling,69
9,3,84,39,48,1,0.9999999999999764,2.1168252336186317e-14,2.5165055224836883e-15,scheduling,84
10,11,54,39,53,1,1.6283271027835629e-15,0.9999999999999981,2.960594732333751e-16,speed,11
11,52,77,19,21,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
12,5,85,49,1,1,7.401486830834377e-16,2.960594732333751e-16,0.999999999999999,rerouting,5
13,5,85,48,1,1,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,85
14,5,85,47,1,1,7.401486830834377e-16,2.960594732333751e-16,0.999999999999999,rerouting,5
15,5,85,46,1,1,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,85
16,6,92,17,51,2,2.960594732333751e-16,0.9999999999979939,2.0058029311561163e-12,speed,6
17,31,32,36,45,2,2.960594732333751e-16,0.9999999999992605,7.392605046637376e-13,speed,32
18,7,27,35,46,2,0.000526163656355679,0.9994738363436418,2.5165055224836887e-15,speed,7
19,8,30,28,54,1,0.9999999999999986,2.960594732333751e-16,1.1842378929335004e-15,scheduling,30
20,8,56,13,38,2,4.212926304110927e-13,0.9999999999995784,2.960594732333751e-16,speed,8
21,9,63,29,4,0,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,63
22,52,77,14,21,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
23,10,57,37,4,1,0.999999999999999,2.960594732333751e-16,7.401486830834377e-16,scheduling,57
24,11,82,35,45,1,1.6283271027835629e-15,0.9999999999999981,2.960594732333751e-16,speed,11
25,13,23,37,36,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,23
26,34,86,13,48,1,0.9998846396311433,0.00011536036885647268,2.960594732333753e-16,scheduling,34
27,13,75,3,49,1,1.850979665836879e-09,0.9999999981490183,2.0724163126336265e-15,speed,75
28,14,29,43,25,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,14
29,14,81,38,25,1,2.960594732333751e-16,0.9999999999999892,1.0510111299784816e-14,speed,81
30,14,73,36,25,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,14
31,70,87,18,26,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,87
