plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
0,64,48,22,2,22,10,1262.1618627239218,1231.3246401939327,30.83722252998905,30.83722252998905,45.0,deterministic
1,85,56,0,1,58,55,1115.0683331311498,1109.5219852898256,5.546347841324177,5.546347841324177,45.0,deterministic
1,96,55,24,1,34,4,871.5335793659167,829.6222625147816,41.9113168511351,41.9113168511351,45.0,deterministic
1,96,56,25,1,33,3,857.4266268399182,816.3826156836795,41.04401115623864,41.04401115623864,45.0,deterministic
2,26,16,29,2,35,6,1465.8764726477016,1503.1389908337217,-37.26251818602009,37.26251818602009,45.0,deterministic
2,53,23,31,2,28,23,1375.8626959334144,1360.116347430489,15.746348502925457,15.746348502925457,45.0,deterministic
2,53,21,29,2,30,25,1408.3848620853785,1388.4517583753754,19.933103710003024,19.933103710003024,45.0,deterministic
2,53,22,30,2,29,24,1392.1237790093965,1374.2840529029322,17.83972610646424,17.83972610646424,45.0,deterministic
3,16,34,29,1,15,28,1268.1010697679676,1263.621578362747,4.479491405220642,4.479491405220642,45.0,deterministic
3,89,35,30,1,16,19,1280.7069174828061,1274.3945911249407,6.312326357865459,6.312326357865459,45.0,deterministic
4,56,15,26,2,5,32,1336.2934793474717,1326.4095456030425,9.883933744429214,9.883933744429214,45.0,deterministic
4,62,41,8,2,32,41,1698.4780315830658,1700.8200747132917,-2.342043130225875,2.342043130225875,45.0,deterministic
4,64,24,17,2,15,34,1474.5788700642763,1455.0636301878121,19.515239876464193,19.515239876464193,45.0,deterministic
4,64,23,17,2,14,35,1464.192177977143,1463.3812209277542,0.8109570493888896,0.8109570493888896,45.0,deterministic
5,85,48,1,1,8,47,995.7932793722578,1013.5582618073773,-17.764982435119578,17.764982435119578,45.0,deterministic
5,85,49,1,1,7,48,984.7400568689272,1024.9632163846632,-40.223159515735915,40.223159515735915,45.0,deterministic
5,85,47,1,1,9,46,1006.8465018755883,1002.1533072300915,4.69319464549676,4.69319464549676,45.0,deterministic
5,85,46,1,1,10,45,1017.8997243789188,990.7483526528057,27.151371726113098,27.151371726113098,45.0,deterministic
6,92,17,51,2,13,5,404.18945349576666,432.0233547681739,-27.833901272407218,27.833901272407218,45.0,deterministic
7,27,35,46,2,23,33,1635.050503463345,1645.1378561993897,-10.08735273604475,10.08735273604475,45.0,deterministic
8,21,16,41,2,18,16,1143.9801311982378,1099.159959624939,44.82017157329892,44.82017157329892,45.0,deterministic
8,30,28,54,1,5,38,977.6329778285742,983.4581359671595,-5.825158138585266,5.825158138585266,45.0,deterministic
8,56,13,38,2,21,20,1183.1841046596815,1199.2287447866872,-16.044640127005778,16.044640127005778,45.0,deterministic
9,63,29,4,0,1,0,1059.7478600081095,1076.6125700773841,-16.86471006927468,16.86471006927468,45.0,deterministic
10,49,13,10,1,11,44,1129.0864282760947,1099.9638975236917,29.12253075240301,29.12253075240301,45.0,deterministic
10,57,37,4,1,35,37,1425.977576599366,1393.291016563299,32.68656003606702,32.68656003606702,45.0,deterministic
11,54,39,53,1,3,46,1235.5905483641666,1269.3215197397822,-33.73097137561558,33.73097137561558,45.0,deterministic
11,82,35,45,1,11,35,1343.0582189303288,1338.2606250018844,4.797593928444485,4.797593928444485,45.0,deterministic
13,23,37,36,1,11,27,653.8886664875179,658.268907877262,-4.380241389744128,4.380241389744128,45.0,deterministic
13,75,3,49,1,45,3,1042.945054908938,1017.1010153745475,25.84403953439039,25.84403953439039,45.0,deterministic
14,29,43,25,1,13,25,1524.8934866102793,1485.5515813643872,39.34190524589212,39.34190524589212,45.0,deterministic
14,73,36,25,1,20,14,1587.0100865504,1557.2134413827491,29.796645167650922,29.796645167650922,45.0,deterministic
14,81,38,25,1,18,24,1569.2624865675084,1598.8299743301268,-29.567487762618384,29.567487762618384,45.0,deterministic
15,23,37,51,2,28,42,818.8726404355599,819.3076887924751,-0.4350483569152175,0.4350483569152175,45.0,deterministic
15,24,37,51,2,28,17,818.8726404355599,849.936520590041,-31.063880154481126,31.063880154481126,45.0,deterministic
16,41,34,48,1,47,33,1476.0255281257416,1451.393207358147,24.632320767594592,24.632320767594592,45.0,deterministic
16,58,41,16,1,15,29,1100.1351402543876,1062.920715622437,37.21442463195058,37.21442463195058,45.0,deterministic
16,89,33,32,1,31,21,1298.7282038548763,1308.275486864461,-9.547283009584817,9.547283009584817,45.0,deterministic
16,89,34,31,1,30,20,1284.1865634468834,1291.3350389947009,-7.1484755478174975,7.1484755478174975,45.0,deterministic
18,78,43,20,1,10,9,1237.4170213231587,1262.1890999513844,-24.7720786282257,24.7720786282257,45.0,deterministic
18,80,43,27,1,17,14,1305.5376559849387,1273.0124040079484,32.525251976990376,32.525251976990376,45.0,deterministic
18,97,45,15,1,5,7,1180.697570634924,1194.7931403270288,-14.095569692104846,14.095569692104846,45.0,deterministic
19,29,43,29,1,11,29,1480.424459675727,1519.2298092260955,-38.805349550368646,38.805349550368646,45.0,deterministic
20,26,12,26,1,38,2,1415.245483280691,1446.5068657358158,-31.26138245512493,31.26138245512493,45.0,deterministic
22,33,12,30,2,50,24,690.6441168749136,653.775595096991,36.86852177792264,36.86852177792264,45.0,deterministic
23,24,37,51,2,42,17,819.3076887924751,849.936520590041,-30.62883179756591,30.62883179756591,45.0,deterministic
27,89,24,45,2,22,34,1545.7486500673274,1509.1817701553427,36.56687991198464,36.56687991198464,45.0,deterministic
28,62,24,43,2,17,6,1297.8460534842998,1292.305019952633,5.541033531666699,5.541033531666699,45.0,deterministic
28,83,23,42,2,18,13,1312.740133279152,1286.715806295755,26.024326983396804,26.024326983396804,45.0,deterministic
29,73,44,17,1,17,6,1414.7076309567178,1414.6894150324563,0.01821592426153984,0.01821592426153984,45.0,deterministic
29,73,45,16,1,16,5,1402.800579307038,1396.8739117386697,5.92666756836843,5.92666756836843,45.0,deterministic
30,35,30,43,1,27,7,870.5515862623836,907.235302874132,-36.68371661174842,36.68371661174842,45.0,deterministic
31,32,36,45,2,6,23,1322.650388037705,1287.2121351863593,35.438252851345624,35.438252851345624,45.0,deterministic
31,63,28,37,3,14,33,1420.8434703689036,1443.555446923427,-22.711976554523517,22.711976554523517,45.0,deterministic
31,83,30,39,2,12,20,1396.0909211334506,1376.2214631209295,19.869458012521136,19.869458012521136,45.0,deterministic
32,67,51,34,1,8,25,1066.7114796533422,1104.0881046111806,-37.37662495783843,37.37662495783843,45.0,deterministic
33,48,11,19,2,35,10,749.3592221167798,761.1341079446157,-11.774885827835874,11.774885827835874,45.0,deterministic
34,86,13,48,1,4,36,1796.874645201,1822.6202873397806,-25.745642138780568,25.745642138780568,45.0,deterministic
36,94,37,19,2,16,19,587.5934930673048,581.8482588117785,5.745234255526384,5.745234255526384,45.0,deterministic
36,95,28,19,2,25,19,686.0306625477024,656.45891368476,29.5717488629424,29.5717488629424,45.0,deterministic
37,44,27,47,1,3,12,1704.6071515213962,1684.785793646788,19.82135787460811,19.82135787460811,45.0,deterministic
38,40,33,31,2,21,20,914.5428849484113,925.4849696824301,-10.942084734018863,10.942084734018863,45.0,deterministic
38,65,32,30,2,20,21,901.6109844785663,941.5835030695781,-39.97251859101186,39.97251859101186,45.0,deterministic
39,81,37,35,1,30,34,1698.7193284642694,1701.938078693612,-3.218750229342504,3.218750229342504,45.0,deterministic
40,65,32,32,2,21,23,938.6944835996823,962.6275806796185,-23.93309707993626,23.93309707993626,45.0,deterministic
41,59,6,46,1,5,40,1084.278483925117,1100.0809822021567,-15.802498277039831,15.802498277039831,45.0,deterministic
41,62,21,46,1,20,3,1269.959703017655,1250.7738423522842,19.18586066537091,19.18586066537091,45.0,deterministic
43,44,27,30,1,16,29,1838.7355061010328,1876.8273789411849,-38.091872840152064,38.091872840152064,45.0,deterministic
45,66,37,30,1,34,28,920.2279007777644,927.6707947340255,-7.442893956261173,7.442893956261173,45.0,deterministic
46,47,13,36,2,18,12,846.282771840306,881.7193370388185,-35.436565198512426,35.436565198512426,45.0,deterministic
49,65,41,16,1,16,7,757.2289628412968,754.718494149116,2.5104686921807797,2.5104686921807797,45.0,deterministic
49,84,51,24,1,6,28,611.5077042772423,652.6134919916581,-41.10578771441578,41.10578771441578,45.0,deterministic
49,92,33,11,1,24,45,867.4588568442251,899.1410322840773,-31.68217543985213,31.68217543985213,45.0,deterministic
51,57,25,14,1,4,25,1245.4913351227488,1201.3067965637858,44.18453855896291,44.18453855896291,45.0,deterministic
52,77,8,22,2,51,48,1161.1401193606196,1138.1492928480113,22.990826512608237,22.990826512608237,45.0,deterministic
52,77,13,21,2,46,43,1113.4996648182287,1089.3461898084417,24.153475009786916,24.153475009786916,45.0,deterministic
52,77,15,21,2,44,41,1095.9013732127864,1071.318418100752,24.58295511203437,24.58295511203437,45.0,deterministic
52,77,9,22,2,50,47,1152.3409735578985,1129.1354069941665,23.205566563731963,23.205566563731963,45.0,deterministic
52,77,7,23,2,52,49,1173.583990692126,1150.8968524722015,22.687138219924464,22.687138219924464,45.0,deterministic
52,77,16,21,2,43,40,1087.1022274100653,1062.3045322469072,24.797695163158096,24.797695163158096,45.0,deterministic
52,77,10,22,2,49,46,1143.5418277551773,1120.1215211403216,23.42030661485569,23.42030661485569,45.0,deterministic
52,77,23,20,2,36,33,1021.8634812622321,995.4736574996482,26.389823762583887,26.389823762583887,45.0,deterministic
52,77,22,20,2,37,34,1030.6626270649533,1004.4875433534929,26.17508371146039,26.17508371146039,45.0,deterministic
52,77,18,21,2,41,38,1069.503935804623,1044.2767605392175,25.22717526540555,25.22717526540555,45.0,deterministic
52,77,12,21,2,47,44,1122.2988106209498,1098.3600756622866,23.93873495866319,23.93873495866319,45.0,deterministic
52,77,14,21,2,45,42,1104.7005190155076,1080.332303954597,24.368215060910643,24.368215060910643,45.0,deterministic
52,77,21,21,2,38,35,1043.1064983964598,1017.2351029776831,25.871395418776615,25.871395418776615,45.0,deterministic
52,77,3,22,2,56,53,1212.4252994317958,1190.6860696579263,21.73922977386951,21.73922977386951,45.0,deterministic
52,77,20,21,2,39,36,1051.9056441991809,1026.2489888315279,25.656655367653002,25.656655367653002,45.0,deterministic
52,77,4,22,2,55,52,1203.6261536290747,1181.6721838040814,21.953969824993237,21.953969824993237,45.0,deterministic
52,77,11,21,2,48,45,1131.097956423671,1107.3739615161314,23.723994907539463,23.723994907539463,45.0,deterministic
52,77,24,20,2,35,32,1013.064335459511,986.4597716458035,26.6045638137075,26.6045638137075,45.0,deterministic
52,77,19,21,2,40,37,1060.704790001902,1035.2628746853727,25.441915316529276,25.441915316529276,45.0,deterministic
52,77,25,20,2,34,31,1004.2651896567899,977.4458857919587,26.819303864831113,26.819303864831113,45.0,deterministic
52,77,17,21,2,42,39,1078.3030816073442,1053.2906463930624,25.012435214281822,25.012435214281822,45.0,deterministic
53,64,11,16,2,38,47,1560.1830549400627,1566.6375686978115,-6.454513757748828,6.454513757748828,45.0,deterministic
55,65,46,9,0,1,0,664.8817164646156,658.8090744124119,6.072642052203719,6.072642052203719,45.0,deterministic
57,69,11,27,2,11,47,970.3824054989036,978.6175034612908,-8.235097962387158,8.235097962387158,45.0,deterministic
57,82,9,29,1,9,9,936.368625187464,911.9816137644707,24.387011422993282,24.387011422993282,45.0,deterministic
61,88,45,54,2,54,45,1287.5959197440407,1266.0040245684563,21.59189517558434,21.59189517558434,45.0,deterministic
62,83,27,40,2,9,17,1333.530409394669,1339.1470061548303,-5.616596760161201,5.616596760161201,45.0,deterministic
62,83,28,39,2,10,18,1347.2722058753477,1354.5037490478062,-7.231543172458487,7.231543172458487,45.0,deterministic
64,80,35,17,2,23,25,1363.5701320484498,1396.6551282432804,-33.08499619483064,33.08499619483064,45.0,deterministic
68,99,47,33,2,8,26,1347.2399498885027,1363.9669902758178,-16.727040387315128,16.727040387315128,45.0,deterministic
69,92,32,25,1,26,31,781.7387717222873,755.0299274960026,26.70884422628467,26.70884422628467,45.0,deterministic
70,87,13,26,1,36,30,737.2904969339029,742.1433849602186,-4.852888026315668,4.852888026315668,45.0,deterministic
70,87,29,28,1,20,14,581.8495526629222,581.1682009054225,0.6813517574996695,0.6813517574996695,45.0,deterministic
70,87,19,27,1,30,24,673.5303904328474,680.7871333559647,-7.256742923117258,7.256742923117258,45.0,deterministic
70,87,23,27,1,26,20,638.3166559647274,642.5244525096764,-4.207796544949019,4.207796544949019,45.0,deterministic
70,87,14,26,1,35,29,728.4870633168729,732.5777147486465,-4.090651431773608,4.090651431773608,45.0,deterministic
70,87,27,28,1,22,16,599.4564198969822,600.2995413285666,-0.84312143158445,0.84312143158445,45.0,deterministic
70,87,24,28,1,25,19,625.8667207480722,628.9965519632829,-3.129831215210629,3.129831215210629,45.0,deterministic
70,87,20,27,1,29,23,664.7269568158174,671.2214631443926,-6.4945063285751985,6.4945063285751985,45.0,deterministic
70,87,18,26,1,31,25,685.9803256495026,694.3150339023582,-8.334708252855648,8.334708252855648,45.0,deterministic
70,87,28,28,1,21,15,590.6529862799522,590.7338711169946,-0.08088483704239025,0.08088483704239025,45.0,deterministic
70,87,22,27,1,27,21,647.1200895817574,652.0901227212485,-4.970033139491079,4.970033139491079,45.0,deterministic
70,87,25,28,1,24,18,617.0632871310422,619.4308817517108,-2.3675946206685694,2.3675946206685694,45.0,deterministic
