plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
0,64,48,22,2,22,10,1262.1618627239218,1231.3246401939327,30.83722252998905,30.83722252998905,72.31266309664481,uncertain
1,85,56,0,1,58,55,1115.0683331311498,1109.5219852898256,5.546347841324177,5.546347841324177,118.01763230839968,uncertain
1,96,55,24,1,34,4,871.5335793659167,829.6222625147816,41.9113168511351,41.9113168511351,76.77623400017386,uncertain
1,96,56,25,1,33,3,857.4266268399182,816.3826156836795,41.04401115623864,41.04401115623864,75.43627525418478,uncertain
2,26,16,29,2,35,6,1465.8764726477016,1503.1389908337217,-37.26251818602009,37.26251818602009,78.98870010058022,uncertain
2,53,23,31,2,28,23,1375.8626959334144,1360.116347430489,15.746348502925457,15.746348502925457,86.09275363360771,uncertain
2,53,21,29,2,30,25,1408.3848620853785,1388.4517583753754,19.933103710003024,19.933103710003024,89.07472011601263,uncertain
2,53,22,30,2,29,24,1392.1237790093965,1374.2840529029322,17.83972610646424,17.83972610646424,87.58373687481017,uncertain
2,61,45,31,2,6,31,1094.3230436780884,1020.0281174024271,74.29492627566128,74.29492627566128,75.4495090857581,uncertain
2,79,15,29,2,36,22,1477.3747947601662,1571.849336374033,-94.4745416138669,94.4745416138669,94.85330626881345,uncertain
2,79,14,29,2,37,23,1488.8731168726308,1584.840155830771,-95.96703895814017,95.96703895814017,96.05325215601194,uncertain
3,16,34,29,1,15,28,1268.1010697679676,1263.621578362747,4.479491405220642,4.479491405220642,79.58253559620923,uncertain
3,41,39,48,1,34,38,1463.3061685930456,1513.2869470556598,-49.980778462614126,49.980778462614126,94.68408414235248,uncertain
3,41,40,47,1,33,39,1450.700320878207,1530.793140276902,-80.09281939869493,80.09281939869493,94.92419665996132,uncertain
3,89,35,30,1,16,19,1280.7069174828061,1274.3945911249407,6.312326357865459,6.312326357865459,77.44615077884208,uncertain
4,21,15,26,2,5,31,1336.2934793474717,1272.4032528170753,63.890226530396376,63.890226530396376,76.09345195667039,uncertain
4,56,15,26,2,5,32,1336.2934793474717,1326.4095456030425,9.883933744429214,9.883933744429214,72.86310449755894,uncertain
4,62,41,8,2,32,41,1698.4780315830658,1700.8200747132917,-2.342043130225875,2.342043130225875,98.10697924845391,uncertain
4,64,24,17,2,15,34,1474.5788700642763,1455.0636301878121,19.515239876464193,19.515239876464193,79.99883757085453,uncertain
4,64,23,17,2,14,35,1464.192177977143,1463.3812209277542,0.8109570493888896,0.8109570493888896,79.89745346783309,uncertain
5,85,48,1,1,8,47,995.7932793722578,1013.5582618073773,-17.764982435119578,17.764982435119578,84.41212397741546,uncertain
5,85,45,1,1,11,44,1028.9529468822493,979.3433980755199,49.609548806729435,49.609548806729435,84.36042031262846,uncertain
5,85,49,1,1,7,48,984.7400568689272,1024.9632163846632,-40.223159515735915,40.223159515735915,84.42935853234445,uncertain
5,85,47,1,1,9,46,1006.8465018755883,1002.1533072300915,4.69319464549676,4.69319464549676,84.39488942248646,uncertain
5,85,44,1,1,12,43,1040.0061693855798,967.938443498234,72.06772588734577,72.06772588734577,84.34318575769947,uncertain
5,85,50,1,1,6,49,973.6868343655967,1036.368170961949,-62.68133659635237,62.68133659635237,84.44659308727347,uncertain
5,85,46,1,1,10,45,1017.8997243789188,990.7483526528057,27.151371726113098,27.151371726113098,84.37765486755747,uncertain
6,92,17,51,2,13,5,404.18945349576666,432.0233547681739,-27.833901272407218,27.833901272407218,63.09641929404509,uncertain
7,19,27,48,2,31,30,1720.654532641671,1813.2813197357495,-92.62678709407851,92.62678709407851,98.53936210748313,uncertain
7,27,35,46,2,23,33,1635.050503463345,1645.1378561993897,-10.08735273604475,10.08735273604475,85.24334341177635,uncertain
7,29,43,38,1,15,38,1525.0430299869922,1595.0058219149394,-69.96279192794714,69.96279192794714,79.79888958159813,uncertain
8,21,16,41,2,18,16,1143.9801311982378,1099.159959624939,44.82017157329892,44.82017157329892,75.34062365235616,uncertain
8,30,28,54,1,5,38,977.6329778285742,983.4581359671595,-5.825158138585266,5.825158138585266,78.49315112920164,uncertain
8,56,13,38,2,21,20,1183.1841046596815,1199.2287447866872,-16.044640127005778,16.044640127005778,76.2882562464941,uncertain
9,32,3,51,2,48,56,1576.5123213176025,1670.4622103099175,-93.94988899231498,93.94988899231498,114.14717056720629,uncertain
9,63,29,4,0,1,0,1059.7478600081095,1076.6125700773841,-16.86471006927468,16.86471006927468,53.45823849218589,uncertain
10,49,15,10,1,13,42,1158.0722296326364,1078.0734890660983,79.99874056653812,79.99874056653812,89.11996206894497,uncertain
10,49,13,10,1,11,44,1129.0864282760947,1099.9638975236917,29.12253075240301,29.12253075240301,88.77229420549247,uncertain
10,57,37,4,1,35,37,1425.977576599366,1393.291016563299,32.68656003606702,32.68656003606702,104.63370101301956,uncertain
10,99,49,3,1,47,57,1561.6885337721944,1650.1712723245319,-88.48273855233742,88.48273855233742,110.93455160698903,uncertain
11,54,39,53,1,3,46,1235.5905483641666,1269.3215197397822,-33.73097137561558,33.73097137561558,76.85882410304954,uncertain
11,82,35,45,1,11,35,1343.0582189303288,1338.2606250018844,4.797593928444485,4.797593928444485,89.28960200804336,uncertain
13,23,37,36,1,11,27,653.8886664875179,658.268907877262,-4.380241389744128,4.380241389744128,77.68747989123041,uncertain
13,75,3,49,1,45,3,1042.945054908938,1017.1010153745475,25.84403953439039,25.84403953439039,81.62647701778798,uncertain
14,29,43,25,1,13,25,1524.8934866102793,1485.5515813643872,39.34190524589212,39.34190524589212,70.930926816211,uncertain
14,39,46,24,1,10,19,1494.5964383296987,1541.6527989210592,-47.056360591360544,47.056360591360544,70.28972517400234,uncertain
14,39,45,25,1,11,20,1507.1458866273877,1556.7347375237682,-49.58885089638056,49.58885089638056,71.64363825319413,uncertain
14,73,36,25,1,20,14,1587.0100865504,1557.2134413827491,29.796645167650922,29.796645167650922,74.51621464280188,uncertain
14,81,38,25,1,18,24,1569.2624865675084,1598.8299743301268,-29.567487762618384,29.567487762618384,76.88831187771845,uncertain
15,23,37,51,2,28,42,818.8726404355599,819.3076887924751,-0.4350483569152175,0.4350483569152175,97.06572897399067,uncertain
15,24,37,51,2,28,17,818.8726404355599,849.936520590041,-31.063880154481126,31.063880154481126,79.62165697655453,uncertain
16,41,34,48,1,47,33,1476.0255281257416,1451.393207358147,24.632320767594592,24.632320767594592,102.83899148671631,uncertain
16,41,33,49,1,48,32,1490.5671685337345,1433.8870141369048,56.68015439682972,56.68015439682972,102.69373106811042,uncertain
16,51,32,59,1,58,50,1606.1695375521906,1696.4626114866055,-90.2930739344149,90.2930739344149,112.64093138746716,uncertain
16,51,32,59,0,59,51,1609.254285314811,1699.2203175677973,-89.96603225298622,89.96603225298622,112.92720636534739,uncertain
16,58,41,16,1,15,29,1100.1351402543876,1062.920715622437,37.21442463195058,37.21442463195058,80.68525810404705,uncertain
16,89,33,32,1,31,21,1298.7282038548763,1308.275486864461,-9.547283009584817,9.547283009584817,90.55371866677785,uncertain
16,89,34,31,1,30,20,1284.1865634468834,1291.3350389947009,-7.1484755478174975,7.1484755478174975,89.01112468721519,uncertain
17,83,53,8,1,44,67,1973.0808265057722,1919.5073124639846,53.573514041787575,53.573514041787575,120.74082572156934,uncertain
18,41,42,47,1,37,41,1504.1989679835062,1555.5506361559071,-51.35166817240088,51.35166817240088,97.24766225033686,uncertain
18,78,43,20,1,10,9,1237.4170213231587,1262.1890999513844,-24.7720786282257,24.7720786282257,63.46571834414905,uncertain
18,80,43,27,1,17,14,1305.5376559849387,1273.0124040079484,32.525251976990376,32.525251976990376,69.97830281573303,uncertain
18,97,45,15,1,5,7,1180.697570634924,1194.7931403270288,-14.095569692104846,14.095569692104846,58.23974857486091,uncertain
19,29,43,29,1,11,29,1480.424459675727,1519.2298092260955,-38.805349550368646,38.805349550368646,76.09722746056525,uncertain
19,37,27,46,2,28,4,1787.3365572521097,1713.0102130481484,74.3263442039613,74.3263442039613,79.88379205915844,uncertain
19,39,31,41,1,23,36,1700.5730695372001,1789.2109600805234,-88.63789054332324,88.63789054332324,98.20756172641376,uncertain
19,39,30,42,1,24,37,1718.9187870256562,1804.2928986832324,-85.37411165757612,85.37411165757612,99.84548677707062,uncertain
19,39,32,40,1,22,35,1682.227352048744,1774.1290214778144,-91.90166942907035,91.90166942907035,96.56963667575688,uncertain
19,67,52,20,1,2,39,1315.313002279622,1250.0486109361966,65.26439134342536,65.26439134342536,76.69581703234462,uncertain
19,73,27,47,2,29,36,1800.3089384939296,1881.7164304605287,-81.40749196659908,81.40749196659908,106.56306070636325,uncertain
19,73,27,50,2,32,39,1839.2260822193894,1919.508820028392,-80.28273780900258,80.28273780900258,110.32175876950797,uncertain
19,73,27,55,2,37,44,1904.0879884284889,1982.4961359748306,-78.40814754634175,78.40814754634175,116.58625554141585,uncertain
19,73,27,52,2,34,41,1865.1708447030292,1944.7037464069674,-79.53290170393825,79.53290170393825,112.82755747827112,uncertain
19,73,27,48,2,30,37,1813.2813197357495,1894.3138936498165,-81.03257391406692,81.03257391406692,107.8159600607448,uncertain
19,73,27,54,2,36,43,1891.115607186669,1969.8986727855429,-78.78306559887392,78.78306559887392,115.33335618703427,uncertain
19,73,27,53,2,35,42,1878.143225944849,1957.3012095962551,-79.15798365140608,79.15798365140608,114.08045683265269,uncertain
19,73,27,51,2,33,40,1852.1984634612093,1932.1062832176797,-79.90781975647042,79.90781975647042,111.57465812388953,uncertain
19,73,27,46,2,28,35,1787.3365572521097,1869.118967271241,-81.78241001913125,81.78241001913125,105.31016135198166,uncertain
19,73,27,49,2,31,38,1826.2537009775695,1906.9113568391042,-80.65765586153475,80.65765586153475,109.0688594151264,uncertain
20,26,12,26,1,38,2,1415.245483280691,1446.5068657358158,-31.26138245512493,31.26138245512493,84.70811869498925,uncertain
20,28,8,27,1,42,34,1470.669546364481,1542.6520892968613,-71.98254293238028,71.98254293238028,109.78361922914247,uncertain
20,28,7,27,1,43,35,1483.2253645868313,1553.1837941193348,-69.95842953250349,69.95842953250349,110.91488707064481,uncertain
20,28,9,27,1,41,33,1458.1137281421306,1532.1203844743877,-74.00665633225708,74.00665633225708,108.65235138764014,uncertain
21,56,15,32,2,25,26,1204.968105707774,1266.9256511647188,-61.9575454569449,61.9575454569449,82.63623910520292,uncertain
