plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
16,82,1,18.696797947383402,107.15849101428469,33:45:1
16,96,1,29.69055949697463,71.96202177269433,43:14:1
18,78,1,63.31208941091654,63.46571834414905,43:20:1
18,80,1,32.525251976990376,69.97830281573303,43:27:1
18,97,1,14.095569692104846,58.23974857486091,45:15:1
20,61,1,1.45032354293744,66.58544752670234,43:11:2
20,77,1,80.76338343594637,81.98748892990088,31:20:1
21,52,1,38.42449028024794,98.14291985950426,15:21:2
21,77,1,77.28079064074063,95.55350203280325,15:21:2
21,96,1,8.725355223661381,104.39316855494452,14:13:1
22,33,1,36.86852177792264,85.49452165140693,12:30:2
23,24,1,30.62883179756591,86.48618787321439,37:51:2
23,91,1,46.901631392217894,80.5148088975879,38:25:1
24,95,1,53.43685507647035,92.97653325974137,28:51:2
25,44,1,62.13285825125308,78.93781692168413,27:35:1
26,73,1,5.214575601234856,90.267856695347,27:41:2
27,89,1,36.56687991198464,92.38032419688122,24:45:2
30,35,1,36.68371661174842,74.80041640125633,30:43:1
31,32,1,35.438252851345624,73.05409800585946,36:45:2
31,63,1,22.711976554523517,79.25631105266851,28:37:3
32,67,1,37.37662495783843,73.51072970945212,51:34:1
33,48,1,11.774885827835874,75.7968686907486,11:19:2
34,86,1,25.745642138780568,80.44462358278803,13:48:1
35,95,1,55.232352236736915,82.35211915826886,28:41:2
36,94,1,5.745234255526384,77.54976925085803,37:19:2
36,95,1,29.5717488629424,81.36154423659319,28:19:2
37,44,1,19.82135787460811,60.74185882360295,27:47:1
37,73,1,36.10875422309255,82.46093809440922,27:46:2
38,40,1,10.942084734018863,78.59349649318845,33:31:2
38,65,1,39.97251859101186,79.03122209605158,32:30:2
39,81,1,3.218750229342504,93.61286006530192,37:35:1
40,65,1,23.93309707993626,81.15825879519609,32:32:2
43,44,1,38.091872840152064,79.8312077496813,27:30:1
46,47,1,35.436565198512426,73.47265507712024,13:36:2
47,52,1,7.362874180288372,91.06659865505296,24:20:2
49,65,1,2.5104686921807797,69.05872889976999,41:16:1
49,69,1,45.34473792329538,66.94518487035978,47:20:1
49,84,1,41.10578771441578,71.84687158026729,51:24:1
49,92,1,31.68217543985213,96.14361159403396,33:11:1
50,73,1,93.19620925537674,103.82113570908464,26:58:1
52,54,1,21.01832132159052,69.40625265552198,40:17:2
52,61,1,47.489965485497805,71.8420090771271,45:15:2
55,65,1,6.072642052203719,53.42722198402254,46:9:0
61,88,1,21.59189517558434,111.95515807119715,45:54:2
65,76,1,61.28289378130114,73.43368032546474,32:28:2
66,76,1,58.158561845766144,70.14005338263821,36:24:1
66,77,1,45.563899701271794,74.61179203928403,36:21:1
68,73,1,18.434960598268162,88.90900295594986,29:32:2
68,74,1,89.0896490389066,91.9139780256742,11:35:2
69,92,1,26.70884422628467,86.38329575665793,32:25:1
73,78,1,39.60302502017953,70.03141335531242,39:22:1
76,77,1,20.812116192414805,63.13121346195257,40:20:1
77,84,1,51.09280551469885,73.9255922079529,53:14:1
78,80,1,17.44520445010039,72.53894657730129,38:22:1
78,86,1,18.07463901206279,73.85420600676099,27:23:1
81,93,1,50.224764363020086,84.64424643752126,40:21:1
82,87,1,48.82075684976485,78.42624567479162,6:26:1
87,88,1,26.846873502723724,77.22043147177274,8:26:1
