segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,4,56,1,5,5,32,32,62.97917075312972,15:26:2
1,24,95,1,26,26,51,51,39.53967818327102,28:51:2
2,25,44,1,20,20,24,24,16.80495867043105,27:35:1
3,26,73,1,18,18,30,30,9.148668606471333,27:41:2
4,27,89,1,22,22,34,34,55.813444284896576,24:45:2
5,29,48,1,3,3,45,45,40.26279766429465,46:3:2
6,30,35,1,27,27,7,7,38.116699789507905,30:43:1
7,31,32,1,6,6,23,23,37.615845154513835,36:45:2
8,31,63,1,14,14,33,33,56.54433449814499,28:37:3
9,32,67,1,8,8,25,25,36.13410475161369,51:34:1
10,33,48,1,35,35,10,10,64.02198286291272,11:19:2
11,34,86,1,4,4,36,36,54.69898144400746,13:48:1
12,35,95,1,9,9,41,41,27.119766921531948,28:41:2
13,36,94,1,16,16,19,19,71.80453499533165,37:19:2
14,36,95,1,25,25,19,19,51.78979537365079,28:19:2
15,37,44,1,3,3,12,12,40.92050094899484,27:47:1
16,38,40,1,21,21,20,20,67.65141175916959,33:31:2
17,38,65,1,20,20,21,21,39.058703505039716,32:30:2
18,39,81,1,30,30,34,34,90.39410983595941,37:35:1
19,40,65,1,21,21,23,23,57.22516171525983,32:32:2
20,43,44,1,16,16,29,29,41.739334909529234,27:30:1
21,46,47,1,18,18,12,12,38.03608987860781,13:36:2
22,47,52,1,28,28,35,35,63.86332207167163,24:20:2
23,49,65,1,16,16,7,7,66.54826020758921,41:16:1
24,49,69,1,10,10,11,11,21.6004469470644,47:20:1
25,49,84,1,6,6,28,28,30.741083865851508,51:24:1
26,49,92,1,24,24,45,45,64.46143615418183,33:11:1
27,55,65,1,1,1,0,0,47.35457993181882,46:9:0
28,61,88,1,54,54,45,45,90.3632628956128,45:54:2
29,65,76,1,19,19,10,10,12.150786544163594,32:28:2
30,66,76,1,22,22,6,6,11.98149153687207,36:24:1
31,66,77,1,19,19,20,20,29.047892338012232,36:21:1
32,68,73,1,26,26,21,21,20.49239651097217,29:32:2
33,68,74,1,44,44,11,11,2.824328986767597,11:35:2
34,69,92,1,26,26,31,31,59.67445153037326,32:25:1
35,70,91,1,10,10,22,22,15.197270321419921,39:26:1
36,76,77,1,2,2,16,16,42.319097269537764,40:20:1
37,77,84,1,3,3,38,38,22.83278669325405,53:14:1
38,81,93,1,20,20,37,37,34.419482074501175,40:21:1
39,82,87,1,6,6,37,37,29.605488825026768,6:26:1
40,87,88,1,35,35,8,8,50.37355796904902,8:26:1
