plan_a,plan_b,cell_x,cell_y,cell_z,time_a,time_b,time_gap,required_gap,tried_delay_a,tried_delay_b,tried_speed_a,tried_speed_b,tried_reroute,reason_failed
4,56,15,26,2,1336.2934793474717,1326.4095456030425,9.883933744429214,72.86310449755894,False,False,False,False,False,remaining_after_repair
24,95,28,51,2,931.1112617646253,984.5481168410956,-53.43685507647035,92.97653325974137,False,False,False,False,False,remaining_after_repair
25,44,27,35,1,1889.6816094923795,1827.5487512411264,62.13285825125308,78.93781692168413,False,False,False,False,False,remaining_after_repair
26,73,27,41,2,1680.9170757235675,1759.764305621514,-78.84722989794659,87.99589850441792,False,False,False,False,False,remaining_after_repair
27,89,24,45,2,1545.7486500673274,1509.1817701553427,36.56687991198464,92.38032419688122,False,False,False,False,False,remaining_after_repair
29,48,46,3,2,1276.1738259901133,1231.4044826654647,44.76934332464862,85.03214098894327,False,False,False,False,False,remaining_after_repair
30,35,30,43,1,870.5515862623836,907.235302874132,-36.68371661174842,74.80041640125633,False,False,False,False,False,remaining_after_repair
31,32,36,45,2,1322.650388037705,1287.2121351863593,35.438252851345624,73.05409800585946,False,False,False,False,False,remaining_after_repair
31,63,28,37,3,1420.8434703689036,1443.555446923427,-22.711976554523517,79.25631105266851,False,False,False,False,False,remaining_after_repair
32,67,51,34,1,1066.7114796533422,1104.0881046111806,-37.37662495783843,73.51072970945212,False,False,False,False,False,remaining_after_repair
33,48,11,19,2,749.3592221167798,761.1341079446157,-11.774885827835874,75.7968686907486,False,False,False,False,False,remaining_after_repair
34,86,13,48,1,1796.874645201,1822.6202873397806,-25.745642138780568,80.44462358278803,False,False,False,False,False,remaining_after_repair
35,95,28,41,2,936.759995263506,881.527643026769,55.232352236736915,82.35211915826886,False,False,False,False,False,remaining_after_repair
36,94,37,19,2,587.5934930673048,581.8482588117785,5.745234255526384,77.54976925085803,False,False,False,False,False,remaining_after_repair
36,95,28,19,2,686.0306625477024,656.45891368476,29.5717488629424,81.36154423659319,False,False,False,False,False,remaining_after_repair
37,44,27,47,1,1704.6071515213962,1684.785793646788,19.82135787460811,60.74185882360295,False,False,False,False,False,remaining_after_repair
38,40,33,31,2,914.5428849484113,925.4849696824301,-10.942084734018863,78.59349649318845,False,False,False,False,False,remaining_after_repair
38,65,32,30,2,901.6109844785663,941.5835030695781,-39.97251859101186,79.03122209605158,False,False,False,False,False,remaining_after_repair
39,81,37,35,1,1698.7193284642694,1701.938078693612,-3.218750229342504,93.61286006530192,False,False,False,False,False,remaining_after_repair
40,65,32,32,2,938.6944835996823,962.6275806796185,-23.93309707993626,81.15825879519609,False,False,False,False,False,remaining_after_repair
43,44,27,30,1,1838.7355061010328,1876.8273789411849,-38.091872840152064,79.8312077496813,False,False,False,False,False,remaining_after_repair
46,47,13,36,2,846.282771840306,881.7193370388185,-35.436565198512426,73.47265507712024,False,False,False,False,False,remaining_after_repair
47,52,24,20,2,1111.5495354487537,1081.0166563262542,30.53287912249948,94.39620119417111,False,False,False,False,False,remaining_after_repair
49,65,41,16,1,757.2289628412968,754.718494149116,2.5104686921807797,69.05872889976999,False,False,False,False,False,remaining_after_repair
49,69,47,20,1,673.4231293304729,628.0783914071775,45.34473792329538,66.94518487035978,False,False,False,False,False,remaining_after_repair
49,84,51,24,1,611.5077042772423,652.6134919916581,-41.10578771441578,71.84687158026729,False,False,False,False,False,remaining_after_repair
49,92,33,11,1,867.4588568442251,899.1410322840773,-31.68217543985213,96.14361159403396,False,False,False,False,False,remaining_after_repair
55,65,46,9,0,664.8817164646156,658.8090744124119,6.072642052203719,53.42722198402254,False,False,False,False,False,remaining_after_repair
61,88,45,54,2,1287.5959197440407,1266.0040245684563,21.59189517558434,111.95515807119715,False,False,False,False,False,remaining_after_repair
65,76,32,28,2,920.5394254595377,981.8223192408389,-61.28289378130114,73.43368032546474,False,False,False,False,False,remaining_after_repair
66,76,36,24,1,860.1697025299429,918.3282643757091,-58.158561845766144,70.14005338263821,False,False,False,False,False,remaining_after_repair
66,77,36,21,1,828.5986806668469,874.1625803681187,-45.563899701271794,74.61179203928403,False,False,False,False,False,remaining_after_repair
68,73,29,32,2,1580.753363010483,1647.4620390341338,-66.7086760236507,87.20107253462287,False,False,False,False,False,remaining_after_repair
68,74,11,35,2,1823.9049701356719,1912.9946191745785,-89.0896490389066,91.9139780256742,False,False,False,False,False,remaining_after_repair
69,92,32,25,1,781.7387717222873,755.0299274960026,26.70884422628467,86.38329575665793,False,False,False,False,False,remaining_after_repair
70,91,39,26,1,446.68135698986623,504.723932941548,-58.04257595168178,73.2398462731017,False,False,False,False,False,remaining_after_repair
76,77,40,20,1,855.1854793748091,834.3733631823943,20.812116192414805,63.13121346195257,False,False,False,False,False,remaining_after_repair
77,84,53,14,1,694.7908044603399,745.8836099750388,-51.09280551469885,73.9255922079529,False,False,False,False,False,remaining_after_repair
81,93,40,21,1,1551.025119464411,1601.2498838274312,-50.224764363020086,84.64424643752126,False,False,False,False,False,remaining_after_repair
82,87,6,26,1,857.9238332909879,809.103076441223,48.82075684976485,78.42624567479162,False,False,False,False,False,remaining_after_repair
87,88,8,26,1,789.9717360180789,816.8186095208026,-26.846873502723724,77.22043147177274,False,False,False,False,False,remaining_after_repair
