segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,5,85,7,6,12,43,49,79.7016947769897,50:1:1;49:1:1;48:1:1;47:1:1;46:1:1;45:1:1;44:1:1
1,16,61,2,10,11,11,12,38.76654768887846,43:11:2;44:12:2
2,1,85,1,58,58,55,55,112.4712844670755,56:0:1
3,3,89,1,16,16,19,19,71.13382442097662,35:30:1
4,4,56,1,5,5,32,32,62.97917075312972,15:26:2
5,7,29,1,15,15,38,38,53.02979453166276,43:38:1
6,13,75,1,45,45,3,3,55.78243748339759,3:49:1
7,16,45,1,29,29,31,31,37.303810975419594,34:30:1
8,17,83,1,44,44,67,67,54.31433976335691,53:8:1
9,23,70,1,18,18,12,12,18.24557270733669,37:27:1
10,24,95,1,26,26,51,51,86.41338833621172,28:51:2
11,27,51,1,29,29,35,35,73.99421946141435,31:45:2
12,30,35,1,27,27,7,7,38.116699789507905,30:43:1
13,31,63,1,14,14,33,33,56.54433449814499,28:37:3
14,32,40,1,31,31,39,39,41.50145756512178,28:50:2
15,35,95,1,9,9,41,41,27.119766921531948,28:41:2
16,36,48,1,43,43,9,9,55.60736416487457,10:20:2
17,38,40,1,21,21,20,20,67.65141175916959,33:31:2
18,39,81,1,30,30,34,34,90.39410983595941,37:35:1
19,45,80,1,43,43,11,11,41.85340530435724,46:30:1
20,46,47,1,18,18,12,12,38.03608987860781,13:36:2
21,49,67,1,6,6,35,35,70.90885594175002,51:24:1
22,62,90,1,19,19,21,21,67.31031641593233,35:30:2
23,66,76,1,22,22,6,6,11.98149153687207,36:24:1
24,68,99,1,8,8,26,26,42.04134701718725,47:33:2
25,69,92,1,26,26,31,31,59.67445153037326,32:25:1
26,73,74,1,41,41,28,28,68.22659968314314,27:52:2
27,81,93,1,20,20,37,37,34.419482074501175,40:21:1
28,87,88,1,35,35,8,8,50.37355796904902,8:26:1
