segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,16,61,2,10,11,11,12,46.041329090539506,43:11:2;44:12:2
1,3,89,1,16,16,19,19,71.13382442097662,35:30:1
2,4,56,1,5,5,32,32,62.97917075312972,15:26:2
3,7,29,1,15,15,38,38,53.02979453166276,43:38:1
4,13,75,1,45,45,3,3,55.78243748339759,3:49:1
5,17,83,1,44,44,67,67,54.31433976335691,53:8:1
6,22,95,1,34,34,30,30,40.27035684126662,28:30:2
7,23,70,1,18,18,12,12,18.24557270733669,37:27:1
8,27,51,1,29,29,35,35,73.99421946141435,31:45:2
9,30,35,1,27,27,7,7,38.116699789507905,30:43:1
10,31,63,1,14,14,33,33,56.54433449814499,28:37:3
11,32,40,1,31,31,39,39,57.47904611723905,28:50:2
12,32,67,1,8,8,25,25,65.31767441349261,51:34:1
13,36,48,1,43,43,9,9,55.60736416487457,10:20:2
14,38,40,1,21,21,20,20,67.65141175916959,33:31:2
15,39,81,1,30,30,34,34,39.49055211589115,37:35:1
16,45,60,1,55,55,26,26,58.30376317590128,58:31:1
17,46,47,1,18,18,12,12,38.03608987860781,13:36:2
18,62,90,1,19,19,21,21,67.31031641593233,35:30:2
19,66,76,1,22,22,6,6,11.98149153687207,36:24:1
20,68,99,1,8,8,26,26,42.04134701718725,47:33:2
21,69,92,1,26,26,31,31,59.67445153037326,32:25:1
22,73,74,1,41,41,28,28,68.22659968314314,27:52:2
23,87,88,1,35,35,8,8,50.37355796904902,8:26:1
