plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
38,40,1,10.942084734018863,78.59349649318845,33:31:2
69,92,1,26.70884422628467,86.38329575665793,32:25:1
3,89,1,6.312326357865459,77.44615077884208,35:30:1
4,56,1,9.883933744429214,72.86310449755894,15:26:2
7,29,1,24.5435953105125,77.57338984217526,43:38:1
13,75,1,25.84403953439039,81.62647701778798,3:49:1
87,88,1,26.846873502723724,77.22043147177274,8:26:1
16,61,2,20.222110875649378,67.56968454646167,43:11:2;44:12:2
66,76,1,58.158561845766144,70.14005338263821,36:24:1
32,67,1,6.753609503845496,72.0712839173381,51:34:1
17,83,1,66.42648595821242,120.74082572156934,53:8:1
39,81,1,51.443887898640924,90.93444001453207,37:35:1
30,35,1,36.68371661174842,74.80041640125633,30:43:1
73,74,1,39.614379245065265,107.8409789282084,27:52:2
62,90,1,12.028346223488597,79.33866263942093,35:30:2
22,95,1,44.97211243459151,85.24246927585813,28:30:2
23,70,1,54.15285278320317,72.39842549053986,37:27:1
27,51,1,13.492028024033743,87.48624748544809,31:45:2
46,47,1,35.436565198512426,73.47265507712024,13:36:2
31,63,1,22.711976554523517,79.25631105266851,28:37:3
32,40,1,34.63253437669641,92.11158049393546,28:50:2
36,48,1,31.027040687574868,86.63440485244944,10:20:2
45,60,1,40.074196308811906,98.37795948471319,58:31:1
68,99,1,33.11240330996452,75.15375032715177,47:33:2
